energy,cross_section,asymmetry_parameter
365.0,0.154,0.05665
370.0,0.1614,-0.1299
375.0,0.1838,0.1275
380.0,0.2385,0.8114
385.0,0.3343,1.392
390.0,0.4767,1.689
395.0,0.6581,1.7619999999999998
400.0,0.8651,1.71
405.0,1.091,1.599
410.0,1.336,1.4680000000000002
415.0,1.595,1.3330000000000002
420.0,1.859,1.205
425.0,2.12,1.088
430.0,2.369,0.9834
435.0,2.604,0.8909999999999999
440.0,2.824,0.81
445.0,3.028,0.7393
450.0,3.215,0.6776
455.0,3.383,0.6238
460.0,3.532,0.5771
465.0,3.661,0.5366
470.0,3.772,0.5016
475.0,3.867,0.4716
480.0,3.948,0.4458
485.0,4.017,0.424
490.0,4.0760000000000005,0.4054
495.0,4.125,0.3898
500.0,4.165,0.3768
505.0,4.197,0.366
510.0,4.22,0.3573
515.0,4.2360000000000015,0.3503
520.0,4.245,0.3448
525.0,4.249,0.3408
530.0,4.249,0.338
535.0,4.245,0.3363
540.0,4.238,0.3356
545.0,4.228,0.3357
550.0,4.215,0.3367
555.0,4.2,0.3383
560.0,4.182,0.3405
565.0,4.162,0.3432
570.0,4.14,0.3464
575.0,4.1160000000000005,0.35
580.0,4.09,0.354
585.0,4.063,0.3583
590.0,4.034,0.3629
595.0,4.005,0.3677
600.0,3.975,0.3728
605.0,3.944,0.3781
610.0,3.913,0.3836
615.0,3.881,0.3892
620.0,3.848,0.395
625.0,3.815,0.4008
630.0,3.781,0.4067
635.0,3.747,0.4127
640.0,3.712,0.4188
645.0,3.677,0.4249
650.0,3.641,0.4311
655.0,3.606,0.4372
660.0,3.57,0.4434
680.0,3.426,0.4682
700.0,3.283,0.4929
720.0,3.142,0.5171
740.0,3.003,0.5405
760.0,2.867,0.5632
780.0,2.737,0.5851
800.0,2.611,0.6062
850.0,2.318,0.6551
900.0,2.057,0.6989
950.0,1.827,0.7379
1000.0,1.625,0.7727
1041.0,1.4780000000000002,0.7983
1050.0,1.4480000000000002,0.8037
1100.0,1.293,0.8313
1150.0,1.157,0.856
1200.0,1.038,0.878
1250.0,0.9331,0.8977
1253.6,0.9261,0.899
1300.0,0.8409,0.9153
1350.0,0.7596,0.9311
1400.0,0.6878,0.9451
1450.0,0.6241,0.9578
1486.6,0.5820000000000001,0.9661
1500.0,0.5675,0.969
