energy,cross_section,asymmetry_parameter
100.0,3.703,-0.7666
105.0,6.047999999999999,-0.0194
110.0,5.537000000000001,0.5734
115.0,4.621,0.9617
120.0,3.832,1.244
125.0,3.152,1.46
130.0,2.5780000000000003,1.6269999999999998
132.3,2.349,1.69
135.0,2.109,1.753
140.0,1.736,1.843
145.0,1.442,1.901
150.0,1.208,1.928
151.4,1.151,1.93
155.0,1.02,1.925
160.0,0.8689,1.892
165.0,0.7459,1.827
170.0,0.6459999999999999,1.733
175.0,0.5648,1.61
180.0,0.4989,1.462
185.0,0.4457,1.2919999999999998
190.0,0.4027,1.106
195.0,0.3682,0.91
200.0,0.3405,0.7098
205.0,0.3185,0.5123
210.0,0.3011,0.3234
215.0,0.2874,0.1484
220.0,0.2767,-0.009328
225.0,0.2686,-0.1474
230.0,0.2624,-0.265
235.0,0.2579,-0.3622
240.0,0.2547,-0.44
245.0,0.2526,-0.4997
250.0,0.2515,-0.5431
255.0,0.2511,-0.5720000000000001
260.0,0.2512,-0.5885
265.0,0.2518,-0.5943
270.0,0.2528,-0.5912
275.0,0.254,-0.5807
280.0,0.2554,-0.5644
285.0,0.2568,-0.5433
290.0,0.2584,-0.5185
295.0,0.26,-0.4908
300.0,0.2615,-0.4609
305.0,0.2631,-0.4293
310.0,0.2646,-0.3966
315.0,0.266,-0.363
320.0,0.2674,-0.329
325.0,0.2687,-0.2947
330.0,0.2699,-0.2604
335.0,0.271,-0.2263
340.0,0.272,-0.1925
345.0,0.2729,-0.1592
350.0,0.2737,-0.1265
355.0,0.2743,-0.09438
360.0,0.2749,-0.06295
365.0,0.2754,-0.03222
370.0,0.2757,-0.002213
375.0,0.276,0.02708
380.0,0.2761,0.05566
385.0,0.2762,0.08352000000000001
390.0,0.2762,0.1107
395.0,0.2761,0.1372
400.0,0.2759,0.163
420.0,0.2743,0.2597
440.0,0.2716,0.3465
460.0,0.268,0.4243
480.0,0.2638,0.4942
500.0,0.259,0.5574
520.0,0.2538,0.6147
540.0,0.2482,0.6667
560.0,0.2425,0.7141
580.0,0.2367,0.7573
600.0,0.2308,0.797
620.0,0.2248,0.8335
640.0,0.2189,0.8671
660.0,0.2131,0.8981
680.0,0.2073,0.9268
700.0,0.2016,0.9535
720.0,0.1961,0.9782
740.0,0.1906,1.001
760.0,0.1853,1.023
780.0,0.1801,1.043
800.0,0.1751,1.062
850.0,0.1632,1.104
900.0,0.1521,1.14
950.0,0.1419,1.171
1000.0,0.1326,1.198
1041.0,0.1254,1.217
1050.0,0.1239,1.221
1100.0,0.116,1.241
1150.0,0.1087,1.259
1200.0,0.1019,1.275
1250.0,0.09576,1.289
1253.6,0.09534,1.29
1300.0,0.09005,1.301
1350.0,0.08476,1.3119999999999998
1400.0,0.07989,1.3219999999999998
1450.0,0.07537999999999999,1.33
1486.6,0.07228,1.336
1500.0,0.07118,1.338
