energy,cross_section,asymmetry_parameter
15.0,9.708,0.09186
16.71,11.24,-0.231
20.0,14.84,-0.3536
21.22,16.32,-0.3302
25.0,21.33,-0.1864
26.86,23.96,-0.1027
30.0,28.46,0.03876
35.0,34.69,0.2489
40.0,37.42,0.4375
40.81,37.38,0.4662
45.0,35.1,0.6083
50.0,29.08,0.7667
55.0,22.06,0.9173
60.0,15.83,1.064
65.0,10.96,1.211
70.0,7.401,1.359
75.0,4.898,1.511
80.0,3.1860000000000004,1.664
85.0,2.041,1.812
90.0,1.294,1.936
95.0,0.8187,1.996
100.0,0.5263,1.917
105.0,0.3555,1.598
110.0,0.2646,0.9967
115.0,0.2256,0.2652
120.0,0.2198,-0.3218
125.0,0.2345,-0.631
130.0,0.2614,-0.7135
132.3,0.2762,-0.7035
135.0,0.2949,-0.6688
140.0,0.3313,-0.5679
145.0,0.3682,-0.449
150.0,0.404,-0.3298
151.4,0.4136,-0.2975
155.0,0.4376,-0.2175
160.0,0.4685,-0.1146
165.0,0.4963,-0.02139
170.0,0.521,0.06268
175.0,0.5426,0.1385
180.0,0.5611,0.2071
185.0,0.5768,0.2693
190.0,0.5899,0.3259
195.0,0.6005,0.3776
200.0,0.609,0.4251
205.0,0.6154,0.4689
210.0,0.6201,0.5093
215.0,0.6232,0.5469
220.0,0.6249,0.5818
225.0,0.6253,0.6144
230.0,0.6245,0.645
235.0,0.6227,0.6737
240.0,0.62,0.7007
245.0,0.6164,0.7262
250.0,0.6122,0.7502
255.0,0.6072,0.773
260.0,0.6017,0.7946
265.0,0.5957,0.8151
270.0,0.5893,0.8345
275.0,0.5824,0.8531
280.0,0.5753,0.8707
285.0,0.5678,0.8875
290.0,0.5601,0.9035
295.0,0.5523,0.9188
300.0,0.5442,0.9335
305.0,0.5361,0.9474
310.0,0.5279,0.9608
320.0,0.5113,0.9859
340.0,0.4783,1.03
360.0,0.4463,1.068
380.0,0.4157,1.1
400.0,0.3869,1.128
420.0,0.3598,1.152
440.0,0.3345,1.1740000000000002
460.0,0.311,1.193
480.0,0.2893,1.209
500.0,0.2693,1.224
520.0,0.251,1.237
540.0,0.2341,1.248
560.0,0.2185,1.258
580.0,0.2042,1.266
600.0,0.1909,1.274
620.0,0.1787,1.281
640.0,0.1675,1.287
660.0,0.157,1.2919999999999998
680.0,0.1474,1.296
700.0,0.1385,1.3
720.0,0.1303,1.3030000000000002
740.0,0.1227,1.305
760.0,0.1156,1.308
780.0,0.109,1.3090000000000002
800.0,0.103,1.311
850.0,0.0895,1.3119999999999998
900.0,0.0782,1.3130000000000002
950.0,0.06867000000000001,1.311
1000.0,0.06059,1.3090000000000002
1041.0,0.05486,1.306
1050.0,0.05369,1.305
1100.0,0.04776,1.301
1150.0,0.04264,1.296
1200.0,0.03821,1.291
1250.0,0.03434,1.285
1253.6,0.03408,1.285
1300.0,0.03096,1.279
1350.0,0.028,1.273
1400.0,0.02538,1.266
1450.0,0.02308,1.26
1486.6,0.02155,1.254
1500.0,0.02103,1.253
