energy,cross_section,asymmetry_parameter
65.0,1.876,1.495
70.0,1.538,1.742
75.0,1.195,1.574
80.0,0.9301,1.274
85.0,0.7425,0.9098
90.0,0.6163,0.5415
95.0,0.5342,0.2231
100.0,0.4824,-0.01142
105.0,0.4504,-0.1547
110.0,0.4313,-0.2188
115.0,0.4201,-0.2236
120.0,0.414,-0.1884
125.0,0.4109,-0.1281
130.0,0.4096,-0.053729999999999986
132.3,0.4094,-0.01684
135.0,0.4093,0.02763
140.0,0.4095,0.1113
145.0,0.4098,0.1944
150.0,0.4101,0.2751
151.4,0.4101,0.2971
155.0,0.41,0.3524
160.0,0.4096,0.4256
165.0,0.4088,0.4946
170.0,0.4076,0.5592
175.0,0.406,0.6195
180.0,0.4039,0.6756
185.0,0.4014,0.7278
190.0,0.3986,0.7763
195.0,0.3954,0.8213
200.0,0.392,0.8631
205.0,0.3883,0.9019
210.0,0.3844,0.938
215.0,0.3804,0.9717
220.0,0.3762,1.003
225.0,0.3719,1.033
230.0,0.3675,1.06
235.0,0.3631,1.086
240.0,0.3586,1.11
245.0,0.3541,1.133
250.0,0.3495,1.155
255.0,0.345,1.175
260.0,0.3404,1.195
265.0,0.3358,1.213
270.0,0.3313,1.231
275.0,0.3267,1.248
280.0,0.3222,1.264
285.0,0.3176,1.279
290.0,0.3131,1.293
295.0,0.3086,1.307
300.0,0.3042,1.321
305.0,0.2998,1.3330000000000002
310.0,0.2954,1.345
315.0,0.2911,1.357
320.0,0.2868,1.368
325.0,0.2825,1.379
330.0,0.2784,1.389
335.0,0.2743,1.399
340.0,0.2702,1.408
345.0,0.2662,1.4169999999999998
350.0,0.2623,1.426
355.0,0.2584,1.4340000000000002
360.0,0.2546,1.442
380.0,0.2401,1.471
400.0,0.2265,1.496
420.0,0.214,1.518
440.0,0.2022,1.537
460.0,0.1913,1.5530000000000002
480.0,0.1811,1.568
500.0,0.1716,1.581
520.0,0.1627,1.5930000000000002
540.0,0.1544,1.6030000000000002
560.0,0.1467,1.6130000000000002
580.0,0.1396,1.621
600.0,0.1329,1.628
620.0,0.1266,1.635
640.0,0.1208,1.641
660.0,0.1153,1.646
680.0,0.1101,1.651
700.0,0.1053,1.655
720.0,0.1007,1.659
740.0,0.09641,1.662
760.0,0.09237,1.665
780.0,0.08857000000000001,1.668
800.0,0.08498,1.67
850.0,0.07687000000000001,1.675
900.0,0.06978999999999999,1.6780000000000002
950.0,0.06359,1.68
1000.0,0.05813,1.682
1041.0,0.05414,1.682
1050.0,0.053320000000000006,1.682
1100.0,0.04905,1.682
1150.0,0.04524,1.681
1200.0,0.04184,1.68
1250.0,0.03877,1.6780000000000002
1253.6,0.03857,1.6780000000000002
1300.0,0.03602,1.676
1350.0,0.033530000000000004,1.6740000000000002
1400.0,0.03128,1.671
1450.0,0.029230000000000006,1.668
1486.6,0.02785,1.666
1500.0,0.02737,1.665
