energy,cross_section,asymmetry_parameter
130.0,1.981,-0.9175
132.3,2.468,-0.6506
135.0,2.865,-0.2154
140.0,2.906,0.4451
145.0,2.625,0.8891
150.0,2.3,1.203
151.4,2.209,1.274
155.0,1.984,1.433
160.0,1.695,1.601
165.0,1.444,1.7180000000000002
170.0,1.234,1.7919999999999998
175.0,1.06,1.828
180.0,0.917,1.83
185.0,0.7995,1.8
190.0,0.7023,1.739
195.0,0.6218,1.648
200.0,0.555,1.531
205.0,0.4996,1.391
210.0,0.4538,1.231
215.0,0.4161,1.056
220.0,0.3851,0.8732
225.0,0.3598,0.6869
230.0,0.3393,0.5027
235.0,0.3228,0.3255
240.0,0.3097,0.1595
245.0,0.2993,0.007808
250.0,0.2913,-0.1273
255.0,0.2853,-0.2449
260.0,0.2808,-0.3445
265.0,0.2776,-0.4268
270.0,0.2755,-0.4928
275.0,0.2742,-0.5437
280.0,0.2737,-0.5811
285.0,0.2737,-0.6065
290.0,0.2742,-0.6214
295.0,0.2751,-0.6272
300.0,0.2763,-0.6252
305.0,0.2778,-0.6168
310.0,0.2794,-0.603
315.0,0.2811,-0.5847
320.0,0.2829,-0.5628
325.0,0.2847,-0.5382
330.0,0.2865,-0.5113
335.0,0.2883,-0.4827
340.0,0.2901,-0.4529
345.0,0.2918,-0.4222
350.0,0.2934,-0.3909
355.0,0.295,-0.3592
360.0,0.2964,-0.3274
365.0,0.2978,-0.2955
370.0,0.2991,-0.2638
375.0,0.3002,-0.2323
380.0,0.3013,-0.2011
385.0,0.3023,-0.1704
390.0,0.3032,-0.1401
395.0,0.304,-0.1103
400.0,0.3046,-0.08108
405.0,0.3052,-0.05247
410.0,0.3057,-0.02446
415.0,0.306,0.002926
420.0,0.3063,0.02967
440.0,0.3065,0.1305
460.0,0.3055,0.222
480.0,0.3033,0.3051
500.0,0.3003,0.3803
520.0,0.2965,0.4485
540.0,0.2921,0.5105
560.0,0.2872,0.5670000000000001
580.0,0.282,0.6188
600.0,0.2765,0.6662
620.0,0.2708,0.7098
640.0,0.265,0.75
660.0,0.2591,0.787
680.0,0.2532,0.8214
700.0,0.2472,0.8532
720.0,0.2413,0.8829
740.0,0.2355,0.9105
760.0,0.2297,0.9362
780.0,0.224,0.9602
800.0,0.2185,0.9828
850.0,0.205,1.033
900.0,0.1923,1.0759999999999998
950.0,0.1805,1.114
1000.0,0.1694,1.146
1041.0,0.1609,1.17
1050.0,0.1591,1.175
1100.0,0.1496,1.2
1150.0,0.1407,1.222
1200.0,0.1325,1.241
1250.0,0.1248,1.258
1253.6,0.1243,1.26
1300.0,0.1178,1.274
1350.0,0.1112,1.287
1400.0,0.1051,1.3
1450.0,0.0994,1.31
1486.6,0.09548,1.318
1500.0,0.0941,1.32
