energy,cross_section,asymmetry_parameter
120.0,0.3774,0.3699
125.0,0.3702,0.3052
130.0,0.3557,0.034980000000000004
132.3,0.3485,-0.05869
135.0,0.3399,-0.1488
140.0,0.325,-0.2718
145.0,0.3126,-0.3482
150.0,0.3032,-0.3849
151.4,0.301,-0.3888
155.0,0.2964,-0.3879
160.0,0.2919,-0.3644
165.0,0.2889,-0.3224
170.0,0.2869,-0.2688
175.0,0.2854,-0.2091
180.0,0.2843,-0.1471
185.0,0.2833,-0.08503
190.0,0.2823,-0.024030000000000003
195.0,0.2812,0.035410000000000004
200.0,0.28,0.09314
205.0,0.2788,0.1492
210.0,0.2775,0.2035
215.0,0.276,0.2562
220.0,0.2745,0.3071
225.0,0.2728,0.3561
230.0,0.2711,0.4032
235.0,0.2692,0.4482
240.0,0.2673,0.4911
245.0,0.2652,0.5318
250.0,0.2631,0.5704
255.0,0.2609,0.6069
260.0,0.2586,0.6414
265.0,0.2563,0.674
270.0,0.254,0.7049
275.0,0.2516,0.7342
280.0,0.2492,0.762
285.0,0.2467,0.7885
290.0,0.2443,0.8139
295.0,0.2418,0.8381
300.0,0.2393,0.8614
305.0,0.2368,0.8838
310.0,0.2343,0.9053
315.0,0.2318,0.926
320.0,0.2293,0.9459
325.0,0.2268,0.9651
330.0,0.2243,0.9836
335.0,0.2218,1.001
340.0,0.2193,1.019
345.0,0.2168,1.035
350.0,0.2144,1.051
355.0,0.2119,1.0659999999999998
360.0,0.2095,1.081
365.0,0.2071,1.095
370.0,0.2047,1.109
375.0,0.2023,1.122
380.0,0.2,1.135
385.0,0.1977,1.147
390.0,0.1954,1.159
395.0,0.1931,1.17
400.0,0.1909,1.181
405.0,0.1887,1.192
410.0,0.1866,1.202
415.0,0.1844,1.212
420.0,0.1823,1.222
440.0,0.1741,1.259
460.0,0.1664,1.291
480.0,0.159,1.321
500.0,0.1521,1.348
520.0,0.1455,1.371
540.0,0.1394,1.393
560.0,0.1336,1.413
580.0,0.1281,1.432
600.0,0.123,1.4480000000000002
620.0,0.1181,1.464
640.0,0.1135,1.4780000000000002
660.0,0.1091,1.492
680.0,0.105,1.504
700.0,0.1011,1.516
720.0,0.09744,1.526
740.0,0.09396,1.536
760.0,0.09065,1.546
780.0,0.0875,1.555
800.0,0.08452,1.5630000000000002
850.0,0.0777,1.582
900.0,0.07168,1.598
950.0,0.06632,1.611
1000.0,0.06153,1.624
1041.0,0.05799,1.632
1050.0,0.05726000000000001,1.634
1100.0,0.05341,1.643
1150.0,0.04993,1.652
1200.0,0.04679,1.659
1250.0,0.04393,1.665
1253.6,0.04374,1.666
1300.0,0.04133,1.671
1350.0,0.03895,1.676
1400.0,0.03678,1.681
1450.0,0.03477,1.685
1486.6,0.03341,1.6869999999999998
1500.0,0.03293,1.6880000000000002
