energy,cross_section,asymmetry_parameter
115.0,0.4317,0.3677
120.0,0.4802,0.4959
125.0,0.4963,0.6689
130.0,0.4992,0.8824
132.3,0.4996,0.99
135.0,0.5015,1.119
140.0,0.513,1.341
145.0,0.5418,1.503
150.0,0.595,1.5730000000000002
151.4,0.6143,1.5730000000000002
155.0,0.6729,1.539
160.0,0.775,1.4340000000000002
165.0,0.8999,1.291
170.0,1.046,1.14
175.0,1.211,0.9957
180.0,1.394,0.866
185.0,1.5930000000000002,0.7534
190.0,1.807,0.6575
195.0,2.033,0.5769
200.0,2.268,0.5097
205.0,2.509,0.454
210.0,2.7510000000000003,0.4082
215.0,2.991,0.3708
220.0,3.225,0.3404
225.0,3.45,0.3159
230.0,3.663,0.2966
235.0,3.863,0.2816
240.0,4.049,0.2703
245.0,4.221,0.2622
250.0,4.378,0.2567
255.0,4.522,0.2535
260.0,4.6530000000000005,0.2522
265.0,4.771,0.2525
270.0,4.877,0.2543
275.0,4.971,0.2572
280.0,5.053,0.2611
285.0,5.124,0.2658
290.0,5.184,0.2713
295.0,5.232,0.2773
300.0,5.271,0.2838
305.0,5.3,0.2907
310.0,5.319,0.2979
315.0,5.329,0.3054
320.0,5.332000000000002,0.3132
325.0,5.327000000000001,0.3211
330.0,5.315,0.3292
335.0,5.2970000000000015,0.3375
340.0,5.274,0.3458
345.0,5.247000000000001,0.3542
350.0,5.215,0.3627
355.0,5.18,0.3712
360.0,5.141,0.3797
365.0,5.1,0.3882
370.0,5.056,0.3968
375.0,5.01,0.4053
380.0,4.962,0.4137
385.0,4.912,0.4222
390.0,4.8610000000000015,0.4306
395.0,4.808,0.4389
400.0,4.753,0.4472
405.0,4.698,0.4554
420.0,4.526,0.4795
440.0,4.288,0.5105
460.0,4.047,0.5399
480.0,3.811,0.5678
500.0,3.584,0.5943
520.0,3.366,0.6195
540.0,3.159,0.6433
560.0,2.963,0.6659
580.0,2.777,0.6873
600.0,2.602,0.7075
620.0,2.439,0.7266
640.0,2.286,0.7446
660.0,2.144,0.7617
680.0,2.011,0.7778
700.0,1.888,0.7929999999999999
720.0,1.773,0.8075
740.0,1.666,0.8211
760.0,1.5659999999999998,0.8341
780.0,1.473,0.8464
800.0,1.386,0.858
850.0,1.195,0.8844
900.0,1.035,0.9074
950.0,0.8995,0.9276
1000.0,0.7851,0.9452
1041.0,0.7044,0.958
1050.0,0.6881,0.9606
1100.0,0.6054,0.974
1150.0,0.5346,0.9856
1200.0,0.4736,0.9958
1250.0,0.4211,1.005
1253.6,0.4176,1.005
1300.0,0.3755,1.012
1350.0,0.3358,1.019
1400.0,0.3012,1.024
1450.0,0.2709,1.029
1486.6,0.2511,1.031
1500.0,0.2443,1.032
