energy,cross_section,asymmetry_parameter
620.0,0.1402,2
640.0,0.1235,2
660.0,0.117,2
680.0,0.1143,2
700.0,0.1111,2
720.0,0.1072,2
740.0,0.1033,2
760.0,0.09975,2
780.0,0.09655,2
800.0,0.0935,2
850.0,0.08615,2
900.0,0.07955,2
950.0,0.07379,2
1000.0,0.06855,2
1041.0,0.06462999999999999,2
1050.0,0.06382,2
1100.0,0.05959,2
1150.0,0.055770000000000014,2
1200.0,0.052279999999999986,2
1250.0,0.04911,2
1253.6,0.04889,2
1300.0,0.04623,2
1350.0,0.0436,2
1400.0,0.04117,2
1450.0,0.03894,2
1486.6,0.03742,2
1500.0,0.03689,2
