energy,cross_section,asymmetry_parameter
200.0,1.336,2
205.0,1.227,2
210.0,1.159,2
215.0,1.109,2
220.0,1.068,2
225.0,1.029,2
230.0,0.9905,2
235.0,0.9521,2
240.0,0.9134,2
245.0,0.8749,2
250.0,0.8369,2
255.0,0.7999,2
260.0,0.7644,2
265.0,0.7304,2
270.0,0.6982,2
275.0,0.6677,2
280.0,0.6391,2
285.0,0.6122,2
290.0,0.5869,2
295.0,0.563,2
300.0,0.5406,2
305.0,0.5194,2
310.0,0.4994,2
315.0,0.4805,2
320.0,0.4624,2
325.0,0.4453,2
330.0,0.429,2
335.0,0.4134,2
340.0,0.3985,2
345.0,0.3842,2
350.0,0.3706,2
355.0,0.3575,2
360.0,0.345,2
365.0,0.3331,2
370.0,0.3216,2
375.0,0.3106,2
380.0,0.3001,2
385.0,0.2901,2
390.0,0.2805,2
395.0,0.2713,2
400.0,0.2625,2
405.0,0.2541,2
410.0,0.246,2
415.0,0.2383,2
420.0,0.2309,2
425.0,0.2238,2
430.0,0.217,2
435.0,0.2105,2
440.0,0.2043,2
445.0,0.1983,2
450.0,0.1925,2
455.0,0.187,2
460.0,0.1817,2
465.0,0.1765,2
470.0,0.1716,2
475.0,0.1669,2
480.0,0.1623,2
485.0,0.1579,2
490.0,0.1536,2
500.0,0.1456,2
520.0,0.131,2
540.0,0.1183,2
560.0,0.1071,2
580.0,0.09734,2
600.0,0.0887,2
620.0,0.08107,2
640.0,0.07429,2
660.0,0.06826,2
680.0,0.06286,2
700.0,0.05801,2
720.0,0.05363,2
740.0,0.04968,2
760.0,0.0461,2
780.0,0.04285,2
800.0,0.0399,2
850.0,0.03361,2
900.0,0.02857,2
950.0,0.02449,2
1000.0,0.02114,2
1041.0,0.01883,2
1050.0,0.01837,2
1100.0,0.01605,2
1150.0,0.01411,2
1200.0,0.01246,2
1250.0,0.01106,2
1253.6,0.01097,2
1300.0,0.009863,2
1350.0,0.008826,2
1400.0,0.007928,2
1450.0,0.007147,2
1486.6,0.006639,2
1500.0,0.006465,2
