energy,cross_section,asymmetry_parameter
25.0,10.11,1.93
26.86,7.825,1.983
30.0,5.16,1.942
35.0,2.834,1.723
40.0,1.712,1.396
40.81,1.592,1.337
45.0,1.135,1.023
50.0,0.8168,0.6587
55.0,0.6302,0.3443
60.0,0.5157,0.1084
65.0,0.4427,-0.04042
70.0,0.394,-0.1115
75.0,0.3599,-0.1239
80.0,0.3345,-0.09712
85.0,0.3147,-0.04641
90.0,0.2984,0.01803
95.0,0.2846,0.08966
100.0,0.2726,0.1643
105.0,0.2619,0.2391
110.0,0.2522,0.3122
115.0,0.2433,0.3822
120.0,0.2351,0.4484
125.0,0.2274,0.5106
130.0,0.2202,0.5685
132.3,0.217,0.5938
135.0,0.2133,0.6225
140.0,0.2068,0.6729
145.0,0.2007,0.72
150.0,0.1948,0.7642
151.4,0.1932,0.7761
155.0,0.1892,0.8057
160.0,0.1839,0.8449
165.0,0.1788,0.8817
170.0,0.1739,0.9165
175.0,0.1692,0.9493
180.0,0.1647,0.9801
185.0,0.1603,1.009
190.0,0.1562,1.036
195.0,0.1522,1.062
200.0,0.1484,1.086
205.0,0.1447,1.109
210.0,0.1412,1.131
215.0,0.1378,1.152
220.0,0.1346,1.171
225.0,0.1314,1.19
230.0,0.1284,1.208
235.0,0.1255,1.225
240.0,0.1227,1.241
245.0,0.1199,1.257
250.0,0.1173,1.272
255.0,0.1148,1.286
260.0,0.1123,1.3
265.0,0.1099,1.3130000000000002
270.0,0.1076,1.325
275.0,0.1054,1.337
280.0,0.1032,1.349
285.0,0.1011,1.36
290.0,0.0991,1.37
295.0,0.09714,1.38
300.0,0.09524,1.39
305.0,0.0934,1.399
310.0,0.09162,1.408
315.0,0.08988,1.4169999999999998
320.0,0.0882,1.425
340.0,0.08191,1.456
360.0,0.07628,1.483
380.0,0.07124,1.507
400.0,0.06669,1.528
420.0,0.06258,1.546
440.0,0.058829999999999986,1.5630000000000002
460.0,0.05541,1.577
480.0,0.052279999999999986,1.59
500.0,0.04942,1.602
520.0,0.04679,1.6130000000000002
540.0,0.04436,1.622
560.0,0.04211,1.631
580.0,0.04002,1.639
600.0,0.03809,1.646
620.0,0.0363,1.653
640.0,0.03462,1.659
660.0,0.03306,1.664
680.0,0.0316,1.669
700.0,0.03023,1.6740000000000002
720.0,0.02894,1.6780000000000002
740.0,0.02773,1.681
760.0,0.0266,1.685
780.0,0.02553,1.6880000000000002
800.0,0.02452,1.6909999999999998
850.0,0.02224,1.6969999999999998
900.0,0.02026,1.7009999999999998
950.0,0.01852,1.705
1000.0,0.016980000000000002,1.707
1041.0,0.01586,1.709
1050.0,0.015619999999999997,1.709
1100.0,0.01441,1.71
1150.0,0.01334,1.711
1200.0,0.01237,1.711
1250.0,0.0115,1.711
1253.6,0.01144,1.711
1300.0,0.01071,1.71
1350.0,0.01,1.709
1400.0,0.009357,1.7080000000000002
1450.0,0.008768000000000001,1.706
1486.6,0.008371,1.705
1500.0,0.008232999999999999,1.705
