energy,cross_section,asymmetry_parameter
10.0,0.2895,2
10.2,0.28800000000000003,2
15.0,0.2352,2
16.7,0.2178,2
20.0,0.1893,2
21.2,0.1804,2
25.0,0.1561,2
26.8,0.1463,2
30.0,0.1307,2
35.0,0.1105,2
40.0,0.09418,2
40.8,0.09188,2
45.0,0.08101,2
50.0,0.07037,2
55.0,0.06174,2
60.0,0.05469,2
65.0,0.04886,2
70.0,0.04399,2
75.0,0.03986,2
80.0,0.03634,2
85.0,0.03331,2
90.0,0.03069,2
95.0,0.02839,2
100.0,0.02638,2
105.0,0.02461,2
110.0,0.02303,2
115.0,0.02161,2
120.0,0.02033,2
125.0,0.01916,2
130.0,0.01809,2
132.3,0.01763,2
135.0,0.0171,2
140.0,0.01619,2
145.0,0.01534,2
150.0,0.01455,2
151.4,0.01434,2
155.0,0.01382,2
160.0,0.01314,2
165.0,0.01251,2
170.0,0.01192,2
175.0,0.01137,2
180.0,0.01086,2
185.0,0.01038,2
190.0,0.009935,2
195.0,0.009519,2
200.0,0.009131,2
205.0,0.008767,2
210.0,0.008426000000000001,2
215.0,0.008106,2
220.0,0.007806,2
225.0,0.007523999999999999,2
230.0,0.0072590000000000016,2
235.0,0.0070090000000000005,2
240.0,0.006774,2
245.0,0.006552,2
250.0,0.006343,2
255.0,0.006144,2
260.0,0.005956,2
265.0,0.005778,2
270.0,0.005608,2
275.0,0.005447,2
280.0,0.005292,2
285.0,0.005145,2
290.0,0.0050030000000000005,2
295.0,0.004868,2
300.0,0.004738,2
320.0,0.004266,2
340.0,0.003861,2
360.0,0.003513,2
380.0,0.003212,2
400.0,0.00295,2
420.0,0.002721,2
440.0,0.00252,2
460.0,0.002343,2
480.0,0.0021850000000000003,2
500.0,0.002043,2
520.0,0.001914,2
540.0,0.001797,2
560.0,0.00169,2
580.0,0.001592,2
600.0,0.001503,2
620.0,0.0014210000000000002,2
640.0,0.0013460000000000002,2
660.0,0.0012779999999999998,2
680.0,0.001214,2
700.0,0.001156,2
720.0,0.001102,2
740.0,0.001051,2
760.0,0.001004,2
780.0,0.0009605,2
800.0,0.0009192,2
850.0,0.0008269,2
900.0,0.0007478,2
950.0,0.0006797999999999999,2
1000.0,0.0006211000000000001,2
1041.0,0.0005785,2
1050.0,0.0005697,2
1100.0,0.0005244,2
1150.0,0.0004842,2
1200.0,0.0004483000000000001,2
1250.0,0.0004164,2
1253.6,0.0004143,2
1300.0,0.0003879,2
1350.0,0.0003622,2
1400.0,0.0003392,2
1450.0,0.0003182,2
1486.6,0.000304,2
1500.0,0.000299,2
