energy,cross_section,asymmetry_parameter
100.0,0.5487,1.047
105.0,0.4997,1.149
110.0,0.4441,0.7912
115.0,0.3998,0.4739
120.0,0.3647,0.2223
125.0,0.3373,0.02766
130.0,0.3167,-0.1151
132.3,0.3091,-0.1642
135.0,0.3017,-0.2094
140.0,0.2911,-0.2604
145.0,0.2838,-0.2757
150.0,0.2788,-0.264
151.4,0.2777,-0.2571
155.0,0.2754,-0.2337
160.0,0.2729,-0.1915
165.0,0.2709,-0.1421
170.0,0.2693,-0.08866
175.0,0.2678,-0.033260000000000005
180.0,0.2664,0.02296
185.0,0.2651,0.07927000000000001
190.0,0.2637,0.1351
195.0,0.2622,0.1901
200.0,0.2607,0.2438
205.0,0.2592,0.29600000000000004
210.0,0.2575,0.3463
215.0,0.2558,0.3946
220.0,0.254,0.4405
225.0,0.2521,0.4842
230.0,0.2501,0.5255
235.0,0.248,0.5646
240.0,0.2459,0.6014
245.0,0.2437,0.6363
250.0,0.2415,0.6693
255.0,0.2392,0.7005
260.0,0.2369,0.7303
265.0,0.2345,0.7586
270.0,0.2322,0.7857
275.0,0.2298,0.8117
280.0,0.2274,0.8366
285.0,0.225,0.8606
290.0,0.2226,0.8836
295.0,0.2201,0.9058
300.0,0.2177,0.9271
305.0,0.2152,0.9476
310.0,0.2127,0.9673
315.0,0.2103,0.9863
320.0,0.2078,1.004
325.0,0.2054,1.022
330.0,0.203,1.039
335.0,0.2006,1.055
340.0,0.1982,1.07
345.0,0.1958,1.085
350.0,0.1935,1.099
355.0,0.1912,1.113
360.0,0.1889,1.126
365.0,0.1867,1.139
370.0,0.1844,1.151
375.0,0.1823,1.163
380.0,0.1801,1.1740000000000002
385.0,0.17800000000000002,1.185
390.0,0.1759,1.196
395.0,0.1738,1.207
400.0,0.1717,1.217
420.0,0.1638,1.255
440.0,0.1562,1.289
460.0,0.149,1.32
480.0,0.1423,1.347
500.0,0.136,1.372
520.0,0.1301,1.394
540.0,0.1246,1.415
560.0,0.1193,1.433
580.0,0.1144,1.4509999999999998
600.0,0.1097,1.467
620.0,0.1053,1.481
640.0,0.1011,1.495
660.0,0.09724,1.507
680.0,0.09357,1.519
700.0,0.09008,1.53
720.0,0.08678,1.54
740.0,0.08365,1.5490000000000002
760.0,0.08069,1.558
780.0,0.07787000000000001,1.567
800.0,0.07521,1.574
850.0,0.06912,1.592
900.0,0.06373999999999999,1.607
950.0,0.05895,1.62
1000.0,0.054679999999999986,1.631
1041.0,0.051529999999999986,1.64
1050.0,0.05087,1.641
1100.0,0.04744,1.65
1150.0,0.04435,1.658
1200.0,0.04154,1.665
1250.0,0.039,1.67
1253.6,0.03883,1.671
1300.0,0.03669,1.676
1350.0,0.03457,1.68
1400.0,0.03263,1.685
1450.0,0.03085,1.6880000000000002
1486.6,0.02964,1.6909999999999998
1500.0,0.029210000000000007,1.6909999999999998
