energy,cross_section,asymmetry_parameter
570.0,0.09066,0.21
575.0,0.09608,0.045160000000000006
580.0,0.09796,-0.1256
585.0,0.1045,-0.1152
590.0,0.1225,0.2062
595.0,0.1576,0.6896
600.0,0.2173,1.124
605.0,0.3093,1.409
610.0,0.438,1.546
615.0,0.6033,1.5759999999999998
620.0,0.8031,1.541
625.0,1.035,1.471
630.0,1.295,1.385
635.0,1.577,1.293
640.0,1.869,1.2009999999999998
645.0,2.158,1.114
650.0,2.4330000000000003,1.032
655.0,2.685,0.9577
660.0,2.912,0.8899
665.0,3.112,0.8285
670.0,3.285,0.7731
675.0,3.432,0.7233
680.0,3.554,0.6786
685.0,3.652,0.6386
690.0,3.728,0.6027
695.0,3.786,0.5708
700.0,3.827,0.5425
705.0,3.856,0.5173
710.0,3.875,0.4951
715.0,3.886,0.4755
720.0,3.891,0.4583
725.0,3.889,0.4432
730.0,3.883,0.4301
735.0,3.873,0.4187
740.0,3.858,0.4088
745.0,3.84,0.4004
750.0,3.82,0.3932
755.0,3.796,0.3872
760.0,3.772,0.3823
765.0,3.746,0.3784
770.0,3.719,0.3753
775.0,3.691,0.373
780.0,3.663,0.3715
785.0,3.635,0.3706
790.0,3.606,0.3703
795.0,3.577,0.3705
800.0,3.548,0.3712
805.0,3.518,0.3724
810.0,3.488,0.374
815.0,3.458,0.3759
820.0,3.428,0.3782
825.0,3.397,0.3807
830.0,3.367,0.3836
835.0,3.3360000000000003,0.3867
840.0,3.306,0.39
845.0,3.275,0.3935
850.0,3.245,0.3972
855.0,3.216,0.4011
860.0,3.1860000000000004,0.4052
865.0,3.157,0.4093
900.0,2.955,0.4412
950.0,2.682,0.4902
1000.0,2.432,0.5393
1041.0,2.2430000000000003,0.5777
1050.0,2.2030000000000003,0.5858
1100.0,1.997,0.6291
1150.0,1.81,0.6688
1200.0,1.643,0.7049
1250.0,1.493,0.7379
1253.6,1.482,0.7401
1300.0,1.358,0.7677
1350.0,1.237,0.7948
1400.0,1.129,0.8194
1450.0,1.032,0.8417
1486.6,0.9671,0.8567
1500.0,0.9446,0.8619
