energy,cross_section,asymmetry_parameter
10.0,9.457,0.2936
10.2,9.56,0.2972
15.0,8.29,0.4742
16.71,7.0360000000000005,0.5468
20.0,4.907,0.6812
21.22,4.288,0.7287
25.0,2.878,0.8671
26.86,2.397,0.9308
30.0,1.793,1.033
35.0,1.171,1.182
40.0,0.7909999999999999,1.3159999999999998
40.81,0.7443,1.337
45.0,0.5494,1.4380000000000002
50.0,0.3915,1.546
55.0,0.2859,1.642
60.0,0.2135,1.727
65.0,0.1624,1.8
70.0,0.1256,1.862
75.0,0.09837,1.913
80.0,0.07794,1.951
85.0,0.06238,1.977
90.0,0.05039,1.99
95.0,0.04107,1.988
100.0,0.033780000000000004,1.97
105.0,0.028030000000000003,1.937
110.0,0.02346,1.887
115.0,0.01982,1.82
120.0,0.0169,1.736
125.0,0.01454,1.636
130.0,0.01263,1.52
132.3,0.01188,1.462
135.0,0.01108,1.391
140.0,0.009815,1.25
145.0,0.008779,1.102
150.0,0.007928,0.9489
151.4,0.007718000000000002,0.9056
155.0,0.007228,0.7946
160.0,0.00665,0.6426
165.0,0.006172,0.4961
170.0,0.005776,0.3577
175.0,0.005447,0.2296
180.0,0.005174,0.1132
185.0,0.004946,0.009726
190.0,0.004757,-0.08051
195.0,0.004599,-0.1575
200.0,0.0044670000000000005,-0.2216
205.0,0.004357,-0.2735
210.0,0.004265,-0.3142
215.0,0.004188,-0.3446
220.0,0.004123,-0.3659
225.0,0.004069,-0.379
230.0,0.004022,-0.3852
235.0,0.003983,-0.3852
240.0,0.003948,-0.3799
245.0,0.003919,-0.3703
250.0,0.003893,-0.3569
255.0,0.00387,-0.3403
260.0,0.00385,-0.3212
265.0,0.003832,-0.2999
270.0,0.003815,-0.2769
275.0,0.0038,-0.2526
280.0,0.003785,-0.2272
285.0,0.003772,-0.2011
290.0,0.003758,-0.1744
295.0,0.003745000000000001,-0.1474
300.0,0.003732,-0.1202
305.0,0.003719,-0.093
320.0,0.003679,-0.01245
340.0,0.003621,0.09021
360.0,0.003559000000000001,0.1858
380.0,0.0034920000000000003,0.2739
400.0,0.003421,0.3546
420.0,0.003346,0.428
440.0,0.003269,0.4948
460.0,0.003191,0.5555
480.0,0.003111,0.6112
500.0,0.003031,0.6622
520.0,0.002951,0.7090000000000001
540.0,0.0028710000000000003,0.7519
560.0,0.002791,0.7914
580.0,0.002713,0.8278
600.0,0.002637,0.8615
620.0,0.002563,0.8928
640.0,0.00249,0.9219
660.0,0.002419,0.9489
680.0,0.00235,0.9741
700.0,0.002283,0.9977
720.0,0.002219,1.02
740.0,0.002156,1.04
760.0,0.002095,1.06
780.0,0.002037,1.078
800.0,0.00198,1.095
850.0,0.001845,1.133
900.0,0.001721,1.167
950.0,0.0016079999999999998,1.196
1000.0,0.001503,1.221
1041.0,0.001424,1.24
1050.0,0.001408,1.243
1100.0,0.00132,1.263
1150.0,0.001239,1.28
1200.0,0.001164,1.296
1250.0,0.0010949999999999998,1.3090000000000002
1253.6,0.001091,1.31
1300.0,0.001032,1.321
1350.0,0.0009733,1.332
1400.0,0.000919,1.342
1450.0,0.0008687999999999999,1.35
1486.6,0.0008343,1.356
1500.0,0.0008221,1.358
