energy,cross_section,asymmetry_parameter
25.0,0.01703,2
26.86,0.04468,2
30.0,0.09749,2
35.0,0.1698,2
40.0,0.2182,2
40.81,0.2239,2
45.0,0.2459,2
50.0,0.2586,2
55.0,0.2609,2
60.0,0.2565,2
65.0,0.2481,2
70.0,0.2374,2
75.0,0.2257,2
80.0,0.2139,2
85.0,0.2022,2
90.0,0.1911,2
95.0,0.1807,2
100.0,0.1709,2
105.0,0.1619,2
110.0,0.1535,2
115.0,0.1457,2
120.0,0.1384,2
125.0,0.1317,2
130.0,0.1254,2
132.3,0.1226,2
135.0,0.1195,2
140.0,0.114,2
145.0,0.1089,2
150.0,0.1041,2
151.4,0.1028,2
155.0,0.09953,2
160.0,0.09528,2
165.0,0.09129,2
170.0,0.08755,2
175.0,0.08402000000000001,2
180.0,0.08071,2
185.0,0.0776,2
190.0,0.07467,2
195.0,0.07191,2
200.0,0.06932,2
205.0,0.06687,2
210.0,0.06457,2
215.0,0.06239,2
220.0,0.06033,2
225.0,0.05838,2
230.0,0.05653,2
235.0,0.05478,2
240.0,0.053120000000000014,2
245.0,0.051529999999999986,2
250.0,0.05002,2
255.0,0.04858,2
260.0,0.0472,2
265.0,0.04588,2
270.0,0.04462,2
275.0,0.04341,2
280.0,0.04225,2
285.0,0.04114,2
290.0,0.04007,2
295.0,0.03904,2
300.0,0.03805,2
305.0,0.0371,2
310.0,0.03618,2
315.0,0.0353,2
320.0,0.03444,2
340.0,0.03134,2
360.0,0.02864,2
380.0,0.0263,2
400.0,0.02424,2
420.0,0.02243,2
440.0,0.02082,2
460.0,0.01938,2
480.0,0.01809,2
500.0,0.01693,2
520.0,0.015880000000000002,2
540.0,0.01493,2
560.0,0.01406,2
580.0,0.013280000000000002,2
600.0,0.01256,2
620.0,0.0119,2
640.0,0.01129,2
660.0,0.01072,2
680.0,0.0102,2
700.0,0.009717,2
720.0,0.009265,2
740.0,0.008844,2
760.0,0.008452,2
780.0,0.008085,2
800.0,0.007741,2
850.0,0.006973,2
900.0,0.006313,2
950.0,0.005742000000000001,2
1000.0,0.005247,2
1041.0,0.004886,2
1050.0,0.004812,2
1100.0,0.00443,2
1150.0,0.004092,2
1200.0,0.003789,2
1250.0,0.003519,2
1253.6,0.003501,2
1300.0,0.003276,2
1350.0,0.003058,2
1400.0,0.00286,2
1450.0,0.00268,2
1486.6,0.002559,2
1500.0,0.002517,2
