energy,cross_section,asymmetry_parameter
35.0,4.1389999999999985,1.756
40.0,1.949,1.557
40.81,1.745,1.409
45.0,1.128,0.4476
50.0,0.9378,-0.3339
55.0,0.975,-0.3729
60.0,1.0759999999999998,-0.1177
65.0,1.18,0.165
70.0,1.269,0.408
75.0,1.334,0.6051
80.0,1.375,0.763
85.0,1.394,0.8899
90.0,1.394,0.9927
95.0,1.382,1.077
100.0,1.359,1.146
105.0,1.329,1.204
110.0,1.295,1.253
115.0,1.258,1.295
120.0,1.219,1.331
125.0,1.179,1.3630000000000002
130.0,1.139,1.391
132.3,1.121,1.402
135.0,1.099,1.415
140.0,1.0590000000000002,1.4369999999999998
145.0,1.019,1.457
150.0,0.9804,1.474
151.4,0.9698,1.479
155.0,0.9427,1.49
160.0,0.9062,1.504
165.0,0.8711,1.517
170.0,0.8373,1.528
175.0,0.8049,1.538
180.0,0.774,1.548
185.0,0.7444,1.556
190.0,0.7162,1.564
195.0,0.6891,1.571
200.0,0.6633,1.577
205.0,0.6386,1.5830000000000002
210.0,0.6149,1.588
215.0,0.5923,1.5930000000000002
220.0,0.5706,1.597
225.0,0.5499,1.601
230.0,0.5301,1.604
235.0,0.5111,1.607
240.0,0.493,1.61
245.0,0.4756,1.6130000000000002
250.0,0.4591,1.615
255.0,0.4432,1.617
260.0,0.4281,1.619
265.0,0.4137,1.621
270.0,0.3998,1.622
275.0,0.3866,1.6230000000000002
280.0,0.3739,1.624
285.0,0.3618,1.625
290.0,0.3502,1.626
295.0,0.3391,1.6269999999999998
300.0,0.3284,1.6269999999999998
305.0,0.3181,1.6269999999999998
310.0,0.3082,1.628
315.0,0.2988,1.628
320.0,0.2897,1.628
325.0,0.2809,1.628
330.0,0.2725,1.6269999999999998
340.0,0.2567,1.6269999999999998
360.0,0.2284,1.625
380.0,0.2041,1.622
400.0,0.1832,1.618
420.0,0.1649,1.6130000000000002
440.0,0.149,1.608
460.0,0.1351,1.6030000000000002
480.0,0.1228,1.597
500.0,0.1119,1.591
520.0,0.1023,1.585
540.0,0.09378,1.578
560.0,0.08615,1.5719999999999998
580.0,0.07932,1.565
600.0,0.07318,1.5590000000000002
620.0,0.06766,1.5519999999999998
640.0,0.06268,1.545
660.0,0.05818,1.538
680.0,0.05409,1.531
700.0,0.05037,1.524
720.0,0.04698,1.517
740.0,0.04389,1.511
760.0,0.04106,1.504
780.0,0.03847,1.497
800.0,0.03609,1.49
850.0,0.030930000000000006,1.473
900.0,0.0267,1.457
950.0,0.0232,1.4409999999999998
1000.0,0.02028,1.425
1041.0,0.01823,1.412
1050.0,0.01782,1.409
1100.0,0.01574,1.394
1150.0,0.01396,1.379
1200.0,0.01244,1.364
1250.0,0.01112,1.35
1253.6,0.01103,1.349
1300.0,0.009982,1.336
1350.0,0.008989,1.3219999999999998
1400.0,0.00812,1.308
1450.0,0.007358,1.295
1486.6,0.006856,1.286
1500.0,0.006683,1.2819999999999998
