energy,cross_section,asymmetry_parameter
15.0,0.2327,1.996
16.71,0.3135,1.886
20.0,0.5253,1.5490000000000002
21.22,0.6194,1.433
25.0,0.9417,1.142
26.86,1.105,1.033
30.0,1.366,0.8885
35.0,1.72,0.7297
40.0,1.995,0.6255
40.81,2.033,0.6121
45.0,2.199,0.5539999999999999
50.0,2.331,0.5036
55.0,2.393,0.4677
60.0,2.399,0.4423
65.0,2.366,0.4251
70.0,2.312,0.4143
75.0,2.247,0.4084
80.0,2.176,0.4063
85.0,2.102,0.4072
90.0,2.025,0.4104
95.0,1.946,0.4154
100.0,1.865,0.4219
105.0,1.786,0.4297
110.0,1.7080000000000002,0.4384
115.0,1.632,0.448
120.0,1.5590000000000002,0.4582
125.0,1.489,0.469
130.0,1.422,0.4802
132.3,1.392,0.4855
135.0,1.358,0.4917
140.0,1.296,0.5034
145.0,1.236,0.5152
150.0,1.179,0.527
151.4,1.163,0.5304
155.0,1.124,0.5389
160.0,1.072,0.5507
165.0,1.022,0.5626
170.0,0.9753,0.5743
175.0,0.9306,0.586
180.0,0.888,0.5976
185.0,0.8476,0.6091
190.0,0.8092,0.6204
195.0,0.7726,0.6316
200.0,0.7378,0.6427
205.0,0.7047,0.6536
210.0,0.6732,0.6643
215.0,0.6432,0.6748
220.0,0.6147,0.6851
225.0,0.5877,0.6952
230.0,0.562,0.7051
235.0,0.5376,0.7148
240.0,0.5145,0.7243
245.0,0.4925,0.7337
250.0,0.4716,0.7428
255.0,0.4517,0.7517
260.0,0.4328,0.7605
265.0,0.4149,0.7691
270.0,0.3977,0.7775
275.0,0.3814,0.7857
280.0,0.3659,0.7937
285.0,0.3512,0.8016
290.0,0.3371,0.8093
295.0,0.3237,0.8168
300.0,0.3109,0.8241
305.0,0.2988,0.8313
320.0,0.2657,0.8517
340.0,0.2282,0.8768
360.0,0.1969,0.8996
380.0,0.1708,0.9203
400.0,0.1488,0.939
420.0,0.1302,0.9559
440.0,0.1144,0.9711
460.0,0.1009,0.9848
480.0,0.08932000000000001,0.9972
500.0,0.07936,1.008
520.0,0.07074,1.018
540.0,0.06326,1.027
560.0,0.05673,1.035
580.0,0.05102,1.042
600.0,0.04601,1.048
620.0,0.0416,1.053
640.0,0.0377,1.058
660.0,0.03424,1.062
680.0,0.03117,1.0659999999999998
700.0,0.02844,1.069
720.0,0.02599,1.071
740.0,0.02381,1.073
760.0,0.02185,1.075
780.0,0.02008,1.0759999999999998
800.0,0.01849,1.077
850.0,0.01514,1.077
900.0,0.01252,1.0759999999999998
950.0,0.01044,1.074
1000.0,0.008767,1.07
1041.0,0.007640000000000002,1.0659999999999998
1050.0,0.007417,1.0659999999999998
1100.0,0.006314999999999999,1.06
1150.0,0.00541,1.055
1200.0,0.00466,1.048
1250.0,0.004034,1.042
1253.6,0.003993,1.041
1300.0,0.0035090000000000004,1.035
1350.0,0.003066,1.028
1400.0,0.002689,1.02
1450.0,0.002369,1.013
1486.6,0.002163,1.007
1500.0,0.002094,1.005
