energy,cross_section,asymmetry_parameter
280.0,0.2112,2
300.0,0.1988,2
320.0,0.1847,2
340.0,0.173,2
360.0,0.1617,2
380.0,0.1515,2
400.0,0.1423,2
420.0,0.1337,2
440.0,0.1258,2
460.0,0.1186,2
480.0,0.112,2
500.0,0.1059,2
520.0,0.1002,2
540.0,0.09502,2
560.0,0.0902,2
580.0,0.08572,2
600.0,0.08155,2
620.0,0.07769,2
640.0,0.07409,2
660.0,0.07074,2
680.0,0.0676,2
700.0,0.06466000000000001,2
720.0,0.06191,2
740.0,0.05933,2
760.0,0.05692000000000001,2
780.0,0.05464,2
800.0,0.05249,2
850.0,0.04765,2
900.0,0.04345,2
950.0,0.03977,2
1000.0,0.03655,2
1041.0,0.03419,2
1050.0,0.0337,2
1100.0,0.031160000000000007,2
1150.0,0.02891,2
1200.0,0.02689,2
1250.0,0.02507,2
1253.6,0.02494,2
1300.0,0.02343,2
1350.0,0.02195,2
1400.0,0.0206,2
1450.0,0.01937,2
1486.6,0.01854,2
1500.0,0.01825,2
