energy,cross_section,asymmetry_parameter
25.0,12.09,1.685
30.0,6.2810000000000015,1.975
35.0,3.426,1.846
40.0,2.024,1.586
40.81,1.874,1.535
45.0,1.304,1.25
50.0,0.9114,0.8899
55.0,0.6838,0.5499
60.0,0.5457,0.2664
65.0,0.4586,0.06102000000000001
70.0,0.4017,-0.0631
75.0,0.3629,-0.1178
80.0,0.3353,-0.1211
85.0,0.3144,-0.09021
90.0,0.2979,-0.03834
95.0,0.2842,0.02557
100.0,0.2725,0.09567
105.0,0.2622,0.1682
110.0,0.253,0.2406
115.0,0.2446,0.3113
120.0,0.2368,0.3791
125.0,0.2295,0.4434
130.0,0.2227,0.5038
132.3,0.2196,0.5303
135.0,0.2162,0.5604
140.0,0.21,0.6133
145.0,0.2041,0.6627
150.0,0.1985,0.7090000000000001
151.4,0.1969,0.7214
155.0,0.1931,0.7524
160.0,0.1879,0.7932
165.0,0.183,0.8317
170.0,0.1782,0.8679
175.0,0.1736,0.9021
180.0,0.1692,0.9344
185.0,0.165,0.9648
190.0,0.1609,0.9935
195.0,0.157,1.021
200.0,0.1532,1.046
205.0,0.1495,1.07
210.0,0.146,1.093
215.0,0.1426,1.115
220.0,0.1393,1.136
225.0,0.1362,1.155
230.0,0.1332,1.1740000000000002
235.0,0.1302,1.192
240.0,0.1274,1.209
245.0,0.1246,1.225
250.0,0.122,1.241
255.0,0.1194,1.256
260.0,0.1169,1.27
265.0,0.1145,1.284
270.0,0.1122,1.297
275.0,0.1099,1.3090000000000002
280.0,0.1077,1.321
285.0,0.1056,1.3330000000000002
290.0,0.1035,1.344
295.0,0.1015,1.355
300.0,0.09955,1.365
305.0,0.09767,1.375
310.0,0.09584,1.384
315.0,0.09406,1.393
320.0,0.09234,1.402
340.0,0.08589,1.435
360.0,0.0801,1.463
380.0,0.07489,1.4880000000000002
400.0,0.07019,1.51
420.0,0.06592999999999999,1.529
440.0,0.06205,1.547
460.0,0.0585,1.5619999999999998
480.0,0.05525,1.5759999999999998
500.0,0.05227,1.589
520.0,0.049530000000000005,1.6
540.0,0.047,1.61
560.0,0.04465,1.62
580.0,0.04248,1.628
600.0,0.04046,1.636
620.0,0.03858,1.643
640.0,0.03683,1.65
660.0,0.0352,1.656
680.0,0.03367,1.661
700.0,0.03223,1.666
720.0,0.03089,1.67
740.0,0.02962,1.675
760.0,0.02843,1.6780000000000002
780.0,0.02731,1.682
800.0,0.02625,1.685
850.0,0.02385,1.692
900.0,0.02176,1.6969999999999998
950.0,0.01992,1.702
1000.0,0.0183,1.705
1041.0,0.01711,1.707
1050.0,0.01686,1.7080000000000002
1100.0,0.015580000000000004,1.709
1150.0,0.014430000000000004,1.711
1200.0,0.0134,1.711
1250.0,0.01247,1.712
1253.6,0.01241,1.712
1300.0,0.01163,1.711
1350.0,0.01087,1.711
1400.0,0.01018,1.71
1450.0,0.009553,1.709
1486.6,0.009124,1.7080000000000002
1500.0,0.008975,1.7080000000000002
