energy,cross_section,asymmetry_parameter
150.0,1.044,-0.7603
151.4,1.19,-0.9368
155.0,1.5730000000000002,-0.7574
160.0,1.807,0.0278
165.0,1.714,0.6177
170.0,1.555,1.014
175.0,1.388,1.29
180.0,1.223,1.48
185.0,1.071,1.604
190.0,0.9362,1.671
195.0,0.8216,1.6909999999999998
200.0,0.7257,1.67
205.0,0.6458,1.614
210.0,0.5794,1.527
215.0,0.524,1.413
220.0,0.4779,1.275
225.0,0.4394,1.118
230.0,0.4073,0.9484
235.0,0.3807,0.7714
240.0,0.3587,0.5927
245.0,0.3407,0.4171
250.0,0.3261,0.2491
255.0,0.3144,0.09217
260.0,0.3051,-0.05116
265.0,0.2979,-0.179
270.0,0.2925,-0.2905
275.0,0.2885,-0.3854
280.0,0.2858,-0.464
285.0,0.2841,-0.5273
290.0,0.2831,-0.5766
295.0,0.2828,-0.6132
300.0,0.28300000000000003,-0.6385
305.0,0.2837,-0.654
310.0,0.2846,-0.6609
315.0,0.2859,-0.6605
320.0,0.2873,-0.6539
325.0,0.2889,-0.6419
330.0,0.2907,-0.6255
335.0,0.2925,-0.6054
340.0,0.2944,-0.5824
345.0,0.2963,-0.557
350.0,0.2982,-0.5297
355.0,0.3,-0.501
360.0,0.3018,-0.4713
365.0,0.3036,-0.4409
370.0,0.3052,-0.41
375.0,0.3068,-0.379
380.0,0.3083,-0.3479
385.0,0.3097,-0.3169
390.0,0.311,-0.28600000000000003
395.0,0.3122,-0.2554
400.0,0.3133,-0.2252
405.0,0.3143,-0.1953
410.0,0.3152,-0.1658
415.0,0.316,-0.1367
420.0,0.3167,-0.1082
425.0,0.3173,-0.08012999999999999
430.0,0.3179,-0.052620000000000014
435.0,0.3183,-0.02566
440.0,0.3186,0.0007214
445.0,0.3189,0.02651
460.0,0.3191,0.1003
480.0,0.3183,0.1907
500.0,0.3164,0.2728
520.0,0.3137,0.3476
540.0,0.3102,0.416
560.0,0.306,0.4784
580.0,0.3014,0.5353
600.0,0.2964,0.5873
620.0,0.2911,0.6351
640.0,0.2856,0.6793
660.0,0.2799,0.7201
680.0,0.2741,0.7579
700.0,0.2682,0.7929
720.0,0.2624,0.8254
740.0,0.2565,0.8556
760.0,0.2507,0.8839
780.0,0.2449,0.9103
800.0,0.2392,0.9351
850.0,0.2253,0.9904
900.0,0.2121,1.038
950.0,0.1996,1.079
1000.0,0.1879,1.115
1041.0,0.1789,1.141
1050.0,0.177,1.146
1100.0,0.1667,1.1740000000000002
1150.0,0.1572,1.198
1200.0,0.1483,1.219
1250.0,0.14,1.239
1253.6,0.1394,1.24
1300.0,0.1323,1.256
1350.0,0.1251,1.271
1400.0,0.1184,1.285
1450.0,0.1122,1.297
1486.6,0.1079,1.305
1500.0,0.1064,1.308
