energy,cross_section,asymmetry_parameter
255.0,0.2821,-0.9784
260.0,0.29,-0.884
265.0,0.2929,-0.7352
270.0,0.2931,-0.6004
275.0,0.2925,-0.4837
280.0,0.2921,-0.3785
285.0,0.2919,-0.2803
290.0,0.2919,-0.1875
295.0,0.2919,-0.1002
300.0,0.2917,-0.0193
305.0,0.2913,0.05465
310.0,0.2907,0.1218
315.0,0.2899,0.1828
320.0,0.289,0.2387
325.0,0.28800000000000003,0.2905
330.0,0.287,0.3389
335.0,0.2859,0.3847
340.0,0.2848,0.4282
345.0,0.2836,0.4697
350.0,0.2823,0.5091
355.0,0.2809,0.5464
360.0,0.2794,0.5817
365.0,0.2779,0.6149
370.0,0.2762,0.6463
375.0,0.2746,0.6758
380.0,0.2729,0.7037
385.0,0.2712,0.7301
390.0,0.2694,0.7552
395.0,0.2677,0.7793
400.0,0.2659,0.8024
405.0,0.2641,0.8245
410.0,0.2623,0.8459
415.0,0.2605,0.8665
420.0,0.2586,0.8864
425.0,0.2567,0.9055
430.0,0.2548,0.9239
435.0,0.2529,0.9416
440.0,0.251,0.9586
445.0,0.249,0.975
450.0,0.2471,0.9906
455.0,0.2451,1.006
460.0,0.2432,1.02
465.0,0.2413,1.034
470.0,0.2393,1.048
475.0,0.2374,1.061
480.0,0.2355,1.073
485.0,0.2336,1.085
490.0,0.2318,1.097
495.0,0.2299,1.109
500.0,0.228,1.12
505.0,0.2261,1.131
510.0,0.2243,1.142
515.0,0.2224,1.152
520.0,0.2205,1.162
525.0,0.2187,1.172
530.0,0.2168,1.181
535.0,0.215,1.19
540.0,0.2132,1.199
545.0,0.2114,1.208
550.0,0.2096,1.216
560.0,0.2061,1.232
580.0,0.1993,1.262
600.0,0.1927,1.289
620.0,0.1864,1.314
640.0,0.1802,1.337
660.0,0.1743,1.358
680.0,0.1687,1.3769999999999998
700.0,0.1633,1.395
720.0,0.1581,1.411
740.0,0.1531,1.426
760.0,0.1483,1.4409999999999998
780.0,0.1437,1.454
800.0,0.1393,1.466
850.0,0.1292,1.494
900.0,0.12,1.518
950.0,0.1117,1.538
1000.0,0.1042,1.556
1041.0,0.09856,1.569
1050.0,0.09738,1.5719999999999998
1100.0,0.09121,1.586
1150.0,0.08559,1.598
1200.0,0.08046,1.609
1250.0,0.07577,1.619
1253.6,0.07545,1.62
1300.0,0.07147,1.628
1350.0,0.06751,1.636
1400.0,0.06387000000000001,1.643
1450.0,0.06052,1.649
1486.6,0.058220000000000015,1.654
1500.0,0.05741,1.655
