energy,cross_section,asymmetry_parameter
210.0,1.186,0.4084
215.0,4.962,0.5546
220.0,4.766,0.5658
225.0,4.05,0.6236
230.0,3.673,0.6955
235.0,3.478,0.7674
240.0,3.364,0.8347
245.0,3.283,0.8959999999999999
250.0,3.209,0.9512
255.0,3.133,1.001
260.0,3.049,1.045
265.0,2.96,1.085
270.0,2.865,1.12
275.0,2.769,1.152
280.0,2.674,1.18
285.0,2.58,1.206
290.0,2.491,1.229
295.0,2.405,1.249
300.0,2.323,1.268
305.0,2.246,1.285
310.0,2.173,1.301
315.0,2.103,1.315
320.0,2.036,1.328
325.0,1.972,1.339
330.0,1.91,1.35
335.0,1.851,1.36
340.0,1.793,1.37
345.0,1.737,1.378
350.0,1.683,1.386
355.0,1.631,1.394
360.0,1.58,1.401
365.0,1.53,1.4069999999999998
370.0,1.482,1.413
375.0,1.436,1.418
380.0,1.392,1.423
385.0,1.349,1.4280000000000002
390.0,1.307,1.433
395.0,1.267,1.4369999999999998
400.0,1.229,1.44
405.0,1.192,1.444
410.0,1.157,1.4469999999999998
415.0,1.123,1.45
420.0,1.09,1.453
425.0,1.058,1.455
430.0,1.028,1.4580000000000002
435.0,0.9991,1.46
440.0,0.9711,1.462
445.0,0.9441,1.464
450.0,0.9181,1.465
455.0,0.893,1.467
460.0,0.8688,1.4680000000000002
465.0,0.8455,1.469
470.0,0.8229,1.47
475.0,0.8011,1.471
480.0,0.78,1.472
485.0,0.7596,1.473
490.0,0.7398,1.473
495.0,0.7207,1.474
500.0,0.7022,1.474
505.0,0.6842,1.475
520.0,0.6338,1.475
540.0,0.5737,1.475
560.0,0.5208,1.474
580.0,0.4741,1.472
600.0,0.4329,1.469
620.0,0.3963,1.466
640.0,0.3636,1.462
660.0,0.3343,1.457
680.0,0.308,1.453
700.0,0.2842,1.4480000000000002
720.0,0.2628,1.443
740.0,0.2435,1.4369999999999998
760.0,0.2259,1.432
780.0,0.21,1.426
800.0,0.1955,1.42
850.0,0.1645,1.405
900.0,0.1396,1.389
950.0,0.1193,1.3730000000000002
1000.0,0.1027,1.357
1041.0,0.09122,1.344
1050.0,0.08893,1.341
1100.0,0.07746,1.325
1150.0,0.06782,1.3090000000000002
1200.0,0.059670000000000015,1.293
1250.0,0.052729999999999985,1.277
1253.6,0.05227,1.276
1300.0,0.0468,1.262
1350.0,0.0417,1.247
1400.0,0.03729,1.232
1450.0,0.033460000000000004,1.217
1486.6,0.03097,1.207
1500.0,0.03012,1.203
