energy,cross_section,asymmetry_parameter
25.0,1.008,0.9907
26.86,1.069,1.415
30.0,1.337,1.829
35.0,2.372,1.594
40.0,4.191,1.115
40.81,4.539,1.05
45.0,6.464,0.7815
50.0,8.886000000000003,0.5815
55.0,11.29,0.4634
60.0,13.47,0.3943
65.0,15.13,0.35600000000000004
70.0,16.1,0.3383
75.0,16.4,0.3354
80.0,16.16,0.3436
85.0,15.51,0.3602
90.0,14.54,0.3834
95.0,13.34,0.4117
100.0,11.99,0.4443
105.0,10.58,0.4805
110.0,9.183,0.5198
115.0,7.87,0.5622
120.0,6.672999999999999,0.6076
125.0,5.607,0.6561
130.0,4.673,0.7079
132.3,4.2860000000000005,0.7328
135.0,3.866,0.763
140.0,3.176,0.8218
145.0,2.592,0.8845
150.0,2.103,0.9513
151.4,1.982,0.9708
155.0,1.6969999999999998,1.023
160.0,1.362,1.099
165.0,1.086,1.18
170.0,0.8619,1.267
175.0,0.6796,1.36
180.0,0.5325,1.457
185.0,0.4144,1.558
190.0,0.3204,1.659
195.0,0.2464,1.754
200.0,0.1887,1.832
205.0,0.1445,1.875
210.0,0.1114,1.854
215.0,0.08739,1.732
220.0,0.07071000000000001,1.474
225.0,0.06,1.071
230.0,0.054110000000000005,0.5662
235.0,0.052070000000000005,0.04833
240.0,0.0531,-0.3907
245.0,0.05655,-0.7029
250.0,0.06187,-0.8893
255.0,0.06863,-0.9768
260.0,0.07646,-0.9967
265.0,0.08505,-0.9747
270.0,0.09415,-0.9285
275.0,0.1036,-0.8697
280.0,0.1132,-0.8054
285.0,0.1227,-0.7397
290.0,0.1323,-0.6749
295.0,0.1416,-0.6124
300.0,0.1507,-0.5528
305.0,0.1596,-0.4964
310.0,0.1681,-0.4431
315.0,0.1763,-0.3929
320.0,0.1841,-0.3456
340.0,0.2114,-0.1822
360.0,0.2325,-0.05129
380.0,0.2478,0.05624
400.0,0.2583,0.1467
420.0,0.2646,0.2243
440.0,0.2675,0.2918
460.0,0.2677,0.3513
480.0,0.2657,0.4043
500.0,0.2621,0.4518
520.0,0.2572,0.4949
540.0,0.2513,0.5341
560.0,0.2448,0.57
580.0,0.2377,0.6029
600.0,0.2303,0.6333
620.0,0.2228,0.6614
640.0,0.2152,0.6875
660.0,0.2076,0.7118
680.0,0.2001,0.7344
700.0,0.1926,0.7555
720.0,0.1854,0.7753
740.0,0.1783,0.7939
760.0,0.1714,0.8113
780.0,0.1648,0.8276
800.0,0.1584,0.8431
850.0,0.1433,0.8778
900.0,0.1297,0.9079
950.0,0.1175,0.9341
1000.0,0.1065,0.9569
1041.0,0.09837,0.9735
1050.0,0.09668,0.9769
1100.0,0.08789,0.9944
1150.0,0.08002999999999999,1.01
1200.0,0.07299,1.023
1250.0,0.06669,1.035
1253.6,0.06626,1.036
1300.0,0.06103,1.046
1350.0,0.05595,1.055
1400.0,0.05138,1.063
1450.0,0.04726,1.07
1486.6,0.0445,1.074
1500.0,0.04354,1.0759999999999998
