energy,cross_section,asymmetry_parameter
10.0,2.265,2
10.2,2.177,2
15.0,1.031,2
16.7,0.8455,2
20.0,0.6132,2
21.2,0.5543,2
25.0,0.419,2
26.8,0.373,2
30.0,0.3092,2
35.0,0.2388,2
40.0,0.1903,2
40.8,0.1839,2
45.0,0.1551,2
50.0,0.1288,2
55.0,0.1088,2
60.0,0.09325,2
65.0,0.08094,2
70.0,0.07105,2
75.0,0.06297,2
80.0,0.05628,2
85.0,0.05067,2
90.0,0.04592,2
95.0,0.04187,2
100.0,0.03838,2
105.0,0.03536,2
110.0,0.03272,2
115.0,0.0304,2
120.0,0.02835,2
125.0,0.02653,2
130.0,0.0249,2
132.3,0.0242,2
135.0,0.02342,2
140.0,0.02209,2
145.0,0.02086,2
150.0,0.01974,2
151.4,0.01944,2
155.0,0.0187,2
160.0,0.01775,2
165.0,0.01686,2
170.0,0.016030000000000003,2
175.0,0.01527,2
180.0,0.01455,2
185.0,0.01389,2
190.0,0.01326,2
195.0,0.01268,2
200.0,0.01214,2
205.0,0.01163,2
210.0,0.01116,2
215.0,0.01071,2
220.0,0.01029,2
225.0,0.0099,2
230.0,0.009531,2
235.0,0.009183,2
240.0,0.008854,2
245.0,0.008545,2
250.0,0.008253,2
255.0,0.007977,2
260.0,0.007716,2
265.0,0.007469,2
270.0,0.007234999999999998,2
275.0,0.007012999999999999,2
280.0,0.006802,2
285.0,0.006601999999999999,2
290.0,0.006412,2
295.0,0.006229999999999999,2
300.0,0.006057,2
320.0,0.005437,2
340.0,0.00491,2
360.0,0.004458,2
380.0,0.004065,2
400.0,0.003723,2
420.0,0.0034240000000000004,2
440.0,0.003161,2
460.0,0.00293,2
480.0,0.002724,2
500.0,0.002542,2
520.0,0.002378,2
540.0,0.002231,2
560.0,0.002097,2
580.0,0.0019760000000000003,2
600.0,0.001864,2
620.0,0.001762,2
640.0,0.001668,2
660.0,0.0015810000000000002,2
680.0,0.001501,2
700.0,0.001427,2
720.0,0.001359,2
740.0,0.001296,2
760.0,0.0012369999999999998,2
780.0,0.001182,2
800.0,0.001132,2
850.0,0.001018,2
900.0,0.0009215,2
950.0,0.0008377,2
1000.0,0.0007649,2
1041.0,0.0007122000000000001,2
1050.0,0.0007013999999999999,2
1100.0,0.0006457,2
1150.0,0.0005967,2
1200.0,0.0005531000000000001,2
1250.0,0.0005142,2
1253.6,0.0005115,2
1300.0,0.0004792,2
1350.0,0.0004477,2
1400.0,0.0004193000000000001,2
1450.0,0.0003935,2
1486.6,0.0003762,2
1500.0,0.0003701,2
