energy,cross_section,asymmetry_parameter
55.0,1.887,1.802
60.0,1.153,1.35
65.0,0.7949,0.5349
70.0,0.6623,-0.1827
75.0,0.6511,-0.4547
80.0,0.6973,-0.3765
85.0,0.7635,-0.1651
90.0,0.8317,0.06171
95.0,0.8934,0.2643
100.0,0.9456,0.4357
105.0,0.9877,0.5787
110.0,1.02,0.6985
115.0,1.044,0.7995
120.0,1.061,0.8856
125.0,1.07,0.9597
130.0,1.074,1.024
132.3,1.074,1.051
135.0,1.072,1.08
140.0,1.0659999999999998,1.13
145.0,1.057,1.1740000000000002
150.0,1.044,1.212
151.4,1.04,1.223
155.0,1.029,1.247
160.0,1.012,1.278
165.0,0.9928,1.306
170.0,0.9731,1.332
175.0,0.9526,1.354
180.0,0.9318,1.375
185.0,0.9107,1.394
190.0,0.8895,1.411
195.0,0.8685,1.4269999999999998
200.0,0.8478,1.4409999999999998
205.0,0.8271,1.454
210.0,0.8068,1.467
215.0,0.7869,1.4780000000000002
220.0,0.7673,1.4880000000000002
225.0,0.7481,1.4980000000000002
230.0,0.7293,1.507
235.0,0.7109,1.515
240.0,0.6928,1.523
245.0,0.6752,1.53
250.0,0.6579,1.537
255.0,0.6411,1.543
260.0,0.6247,1.5490000000000002
265.0,0.6086,1.555
270.0,0.593,1.56
275.0,0.5779,1.565
280.0,0.5631,1.569
285.0,0.5487,1.574
290.0,0.5348,1.578
295.0,0.5213,1.581
300.0,0.5082,1.585
305.0,0.4955,1.588
310.0,0.4831,1.591
315.0,0.4712,1.594
320.0,0.4596,1.596
325.0,0.4484,1.599
330.0,0.4375,1.601
335.0,0.4269,1.6030000000000002
340.0,0.4167,1.605
345.0,0.4068,1.607
360.0,0.3788,1.612
380.0,0.345,1.616
400.0,0.315,1.619
420.0,0.2881,1.621
440.0,0.264,1.622
460.0,0.2425,1.622
480.0,0.2232,1.622
500.0,0.2059,1.621
520.0,0.1904,1.619
540.0,0.1763,1.617
560.0,0.1635,1.614
580.0,0.1519,1.611
600.0,0.1414,1.608
620.0,0.1318,1.605
640.0,0.123,1.601
660.0,0.115,1.597
680.0,0.1076,1.5930000000000002
700.0,0.1009,1.589
720.0,0.09469,1.585
740.0,0.08899,1.581
760.0,0.08373,1.5759999999999998
780.0,0.07887000000000001,1.5719999999999998
800.0,0.07438,1.567
850.0,0.06451,1.556
900.0,0.0563,1.544
950.0,0.04942,1.5319999999999998
1000.0,0.0436,1.521
1041.0,0.03949,1.511
1050.0,0.03866,1.509
1100.0,0.03441,1.497
1150.0,0.03077,1.485
1200.0,0.027610000000000003,1.474
1250.0,0.02487,1.462
1253.6,0.02468,1.461
1300.0,0.02247,1.4509999999999998
1350.0,0.02037,1.439
1400.0,0.01852,1.4280000000000002
1450.0,0.016880000000000003,1.4169999999999998
1486.6,0.0158,1.409
1500.0,0.01543,1.406
