energy,cross_section,asymmetry_parameter
90.0,118.4,0.5507
91.0,44.62,0.4155
92.0,25.03,0.256
93.0,17.47,0.1581
94.0,14.22,0.1216
95.0,12.56,0.1271
100.0,9.225,0.3974
105.0,6.759,0.7535
110.0,4.655,1.086
115.0,3.164,1.372
120.0,2.177,1.6
125.0,1.527,1.756
130.0,1.096,1.814
132.3,0.9493,1.796
135.0,0.8095,1.733
140.0,0.6233,1.48
145.0,0.5077,1.057
150.0,0.4424,0.5296
151.4,0.431,0.3784
155.0,0.4125,0.009911
160.0,0.4073,-0.4072
165.0,0.419,-0.6836
170.0,0.442,-0.8304
175.0,0.4724,-0.8798
180.0,0.5073,-0.8646
185.0,0.5448,-0.8105
190.0,0.5831,-0.7348
195.0,0.6212,-0.649
200.0,0.6581,-0.56
205.0,0.6932,-0.4717
210.0,0.7261,-0.3865
215.0,0.7566,-0.3055
220.0,0.7845,-0.2291
225.0,0.8099,-0.1574
230.0,0.8329,-0.09022
235.0,0.8534,-0.02729
240.0,0.8717,0.03169
245.0,0.8879,0.08702
250.0,0.902,0.139
255.0,0.9141,0.1879
260.0,0.9244,0.2339
265.0,0.933,0.2773
270.0,0.9399,0.3183
275.0,0.9452,0.35700000000000004
280.0,0.9491,0.3935
285.0,0.9515,0.4281
290.0,0.9527,0.4609
295.0,0.9528,0.4919
300.0,0.9518,0.5213
305.0,0.9498,0.5493
310.0,0.947,0.5759
315.0,0.9434,0.6012
320.0,0.9391,0.6253
325.0,0.9342,0.6483
330.0,0.9287,0.6703
335.0,0.9228,0.6913
340.0,0.9163,0.7115
345.0,0.9095,0.7308
350.0,0.9023,0.7494
355.0,0.8948,0.7672
360.0,0.887,0.7844
365.0,0.8788,0.8008
370.0,0.8705,0.8167
375.0,0.8619,0.8320000000000001
380.0,0.8532,0.8467
385.0,0.8442,0.8609
400.0,0.8168,0.9004
420.0,0.7794,0.947
440.0,0.742,0.9877
460.0,0.7053,1.024
480.0,0.6696,1.055
500.0,0.6351,1.083
520.0,0.6021,1.109
540.0,0.5706,1.131
560.0,0.5408,1.151
580.0,0.5126,1.17
600.0,0.4859,1.186
620.0,0.4608,1.2009999999999998
640.0,0.4371,1.214
660.0,0.4147,1.226
680.0,0.3937,1.237
700.0,0.3739,1.247
720.0,0.3553,1.256
740.0,0.3378,1.265
760.0,0.3213,1.272
780.0,0.3057,1.279
800.0,0.2911,1.285
850.0,0.2582,1.298
900.0,0.2297,1.307
950.0,0.2051,1.315
1000.0,0.1837,1.32
1041.0,0.1682,1.3230000000000002
1050.0,0.165,1.324
1100.0,0.1487,1.3259999999999998
1150.0,0.1344,1.327
1200.0,0.1218,1.327
1250.0,0.1107,1.327
1253.6,0.1099,1.327
1300.0,0.1008,1.325
1350.0,0.09202,1.3230000000000002
1400.0,0.08421000000000001,1.321
1450.0,0.07723,1.318
1486.6,0.07257999999999999,1.315
1500.0,0.07097,1.314
