energy,cross_section,asymmetry_parameter
21.2,16.3,1.878
25.0,7.9620000000000015,1.923
26.8,6.002999999999999,1.902
30.0,3.847,1.82
35.0,2.133,1.594
40.0,1.307,1.274
40.8,1.219,1.216
45.0,0.8759,0.9033
50.0,0.638,0.5452
55.0,0.4998,0.2532
60.0,0.4152,0.05122
65.0,0.3603,-0.06457
70.0,0.3225,-0.1119
75.0,0.295,-0.1103
80.0,0.274,-0.0761
85.0,0.2574,-0.02136
90.0,0.2437,0.04538
95.0,0.2322,0.1182
100.0,0.2223,0.1931
105.0,0.2135,0.2673
110.0,0.2056,0.3391
115.0,0.1983,0.4075
120.0,0.1917,0.472
125.0,0.1855,0.5326
130.0,0.1797,0.5892
132.3,0.1772,0.6139
135.0,0.1743,0.642
140.0,0.1692,0.6914
145.0,0.1643,0.7376
150.0,0.1597,0.7809999999999999
151.4,0.1584,0.7926
155.0,0.1553,0.8217
160.0,0.1511,0.86
165.0,0.147,0.8961
170.0,0.1432,0.9302
175.0,0.1395,0.9624
180.0,0.1359,0.9927
185.0,0.1325,1.021
190.0,0.1292,1.0490000000000002
195.0,0.126,1.074
200.0,0.1229,1.098
205.0,0.1199,1.121
210.0,0.1171,1.143
215.0,0.1143,1.164
220.0,0.1117,1.183
225.0,0.1091,1.202
230.0,0.1066,1.219
235.0,0.1042,1.236
240.0,0.1019,1.252
245.0,0.09968,1.267
250.0,0.09753,1.281
255.0,0.09544,1.295
260.0,0.09342,1.3090000000000002
265.0,0.09147,1.321
270.0,0.08957000000000001,1.334
275.0,0.08774,1.345
280.0,0.08596000000000001,1.357
285.0,0.08424,1.368
290.0,0.08257,1.378
295.0,0.08095,1.388
300.0,0.07937999999999999,1.398
305.0,0.07785,1.4069999999999998
310.0,0.07637000000000001,1.416
315.0,0.07493999999999999,1.425
320.0,0.07354,1.433
340.0,0.06835,1.463
360.0,0.06371,1.49
380.0,0.05954,1.513
400.0,0.05578,1.533
420.0,0.05236,1.551
440.0,0.04924,1.567
460.0,0.04639,1.581
480.0,0.04378,1.594
500.0,0.04138,1.606
520.0,0.03917,1.616
540.0,0.03714,1.625
560.0,0.03525,1.634
580.0,0.033510000000000005,1.642
600.0,0.031889999999999995,1.649
620.0,0.03038,1.655
640.0,0.02898,1.661
660.0,0.02766,1.666
680.0,0.02644,1.671
700.0,0.02529,1.675
720.0,0.02421,1.679
740.0,0.0232,1.683
760.0,0.02225,1.686
780.0,0.02135,1.689
800.0,0.0205,1.6909999999999998
850.0,0.018580000000000003,1.6969999999999998
900.0,0.016909999999999998,1.7009999999999998
950.0,0.01545,1.704
1000.0,0.01416,1.707
1041.0,0.01322,1.7080000000000002
1050.0,0.013030000000000002,1.7080000000000002
1100.0,0.01201,1.709
1150.0,0.01111,1.71
1200.0,0.0103,1.709
1250.0,0.009574,1.709
1253.6,0.009524,1.709
1300.0,0.008917,1.7080000000000002
1350.0,0.008323,1.707
1400.0,0.007784,1.705
1450.0,0.007293000000000002,1.704
1486.6,0.006963,1.702
1500.0,0.006846,1.702
