energy,cross_section,asymmetry_parameter
10.0,0.1231,2
10.2,0.1199,2
15.0,0.0703,2
16.7,0.06061,2
20.0,0.04765,2
21.2,0.04422,2
25.0,0.03614,2
26.8,0.033339999999999995,2
30.0,0.02942,2
35.0,0.02506,2
40.0,0.02196,2
40.8,0.02154,2
45.0,0.0196,2
50.0,0.0177,2
55.0,0.0161,2
60.0,0.0147,2
65.0,0.01346,2
70.0,0.01234,2
75.0,0.01133,2
80.0,0.01041,2
85.0,0.009583,2
90.0,0.008833,2
95.0,0.008157,2
100.0,0.007548,2
105.0,0.006998999999999999,2
110.0,0.006505,2
115.0,0.006061,2
120.0,0.00566,2
125.0,0.005297,2
130.0,0.0049700000000000005,2
132.3,0.00483,2
135.0,0.004673,2
140.0,0.004403,2
145.0,0.004158,2
150.0,0.003934,2
151.4,0.003875,2
155.0,0.00373,2
160.0,0.003543,2
165.0,0.003372,2
170.0,0.003215,2
175.0,0.00307,2
180.0,0.002936,2
185.0,0.002813,2
190.0,0.002698,2
195.0,0.002592,2
200.0,0.002493,2
205.0,0.0024,2
210.0,0.002313,2
215.0,0.002232,2
220.0,0.002155,2
225.0,0.002083,2
230.0,0.002015,2
235.0,0.00195,2
240.0,0.001888,2
245.0,0.001829,2
250.0,0.001773,2
255.0,0.00172,2
260.0,0.001668,2
265.0,0.0016190000000000002,2
270.0,0.001572,2
275.0,0.001527,2
280.0,0.001484,2
285.0,0.001443,2
290.0,0.001403,2
295.0,0.001365,2
300.0,0.001328,2
320.0,0.001196,2
340.0,0.001082,2
360.0,0.0009845,2
380.0,0.0009004,2
400.0,0.0008275,2
420.0,0.0007639999999999999,2
440.0,0.0007082999999999999,2
460.0,0.0006588999999999999,2
480.0,0.0006149,2
500.0,0.0005754,2
520.0,0.0005394999999999999,2
540.0,0.0005069,2
560.0,0.0004771,2
580.0,0.0004498,2
600.0,0.0004247,2
620.0,0.0004016,2
640.0,0.0003804,2
660.0,0.0003608,2
680.0,0.0003428,2
700.0,0.0003262,2
720.0,0.0003108,2
740.0,0.0002965,2
760.0,0.0002832,2
780.0,0.0002708,2
800.0,0.0002593,2
850.0,0.0002335,2
900.0,0.0002114,2
950.0,0.0001922,2
1000.0,0.0001754,2
1041.0,0.0001633,2
1050.0,0.0001608,2
1100.0,0.00014790000000000002,2
1150.0,0.0001366,2
1200.0,0.00012649999999999998,2
1250.0,0.0001176,2
1253.6,0.000117,2
1300.0,0.00010959999999999998,2
1350.0,0.0001023,2
1400.0,9.578e-05,2
1450.0,8.983e-05,2
1486.6,8.582e-05,2
1500.0,8.444e-05,2
