energy,cross_section,asymmetry_parameter
60.0,0.3123,2
80.0,0.2879,2
100.0,0.2402,2
120.0,0.1993,2
132.3,0.1787,2
140.0,0.1671,2
151.4,0.1517,2
160.0,0.1413,2
180.0,0.121,2
200.0,0.1049,2
220.0,0.0918,2
240.0,0.08102000000000001,2
260.0,0.0721,2
280.0,0.06466000000000001,2
300.0,0.05836,2
320.0,0.05295,2
340.0,0.04829,2
360.0,0.04425,2
380.0,0.04073,2
400.0,0.03763,2
420.0,0.03488,2
440.0,0.03243,2
460.0,0.03024,2
480.0,0.02828,2
500.0,0.02651,2
520.0,0.02491,2
540.0,0.02346,2
560.0,0.02213,2
580.0,0.02092,2
600.0,0.01981,2
620.0,0.01878,2
640.0,0.01784,2
660.0,0.01697,2
680.0,0.01617,2
700.0,0.01542,2
720.0,0.01472,2
740.0,0.01408,2
760.0,0.01347,2
780.0,0.01291,2
800.0,0.01238,2
850.0,0.01119,2
900.0,0.01017,2
950.0,0.009288,2
1000.0,0.008518000000000001,2
1041.0,0.007956,2
1050.0,0.00784,2
1100.0,0.007242,2
1150.0,0.006711,2
1200.0,0.006236,2
1250.0,0.005812,2
1253.6,0.005783,2
1300.0,0.0054280000000000005,2
1350.0,0.005083,2
1400.0,0.00477,2
1450.0,0.004484,2
1486.6,0.004292,2
1500.0,0.004224,2
