energy,cross_section,asymmetry_parameter
155.0,0.9679,-0.6817
160.0,1.396,-0.8388
165.0,1.644,-0.08445
170.0,1.584,0.5312
175.0,1.452,0.9469
180.0,1.306,1.236
185.0,1.16,1.435
190.0,1.021,1.565
195.0,0.8979,1.636
200.0,0.7916,1.658
205.0,0.7020000000000001,1.638
210.0,0.6271,1.5830000000000002
215.0,0.5646,1.497
220.0,0.5124,1.384
225.0,0.4688,1.247
230.0,0.4323,1.092
235.0,0.4019,0.9248
240.0,0.3766,0.7504
245.0,0.3556,0.5743
250.0,0.3384,0.4015
255.0,0.3243,0.2361
260.0,0.313,0.08148999999999999
265.0,0.3041,-0.059779999999999986
270.0,0.2972,-0.18600000000000005
275.0,0.2919,-0.2963
280.0,0.2881,-0.3904
285.0,0.2855,-0.4687
290.0,0.2838,-0.532
295.0,0.28300000000000003,-0.5814
300.0,0.2827,-0.6184
305.0,0.28300000000000003,-0.6443
310.0,0.2837,-0.6604
315.0,0.2847,-0.6681
320.0,0.2859,-0.6685
325.0,0.2874,-0.6627
330.0,0.289,-0.6516
335.0,0.2908,-0.6361
340.0,0.2926,-0.6168
345.0,0.2945,-0.5946
350.0,0.2965,-0.5698
355.0,0.2984,-0.5431
360.0,0.3003,-0.515
365.0,0.3021,-0.4858
370.0,0.3039,-0.4558
375.0,0.3056,-0.4254
380.0,0.3073,-0.3947
385.0,0.3088,-0.3639
390.0,0.3102,-0.3331
395.0,0.3116,-0.3026
400.0,0.3128,-0.2722
405.0,0.314,-0.2421
410.0,0.315,-0.2124
415.0,0.316,-0.1831
420.0,0.3169,-0.1542
425.0,0.3177,-0.1257
430.0,0.3183,-0.09775
435.0,0.3189,-0.07028
440.0,0.3195,-0.04333
445.0,0.3199,-0.01695
450.0,0.3202,0.008868000000000001
460.0,0.3206,0.05878
480.0,0.3203,0.1517
500.0,0.3189,0.236
520.0,0.3167,0.3129
540.0,0.3136,0.3833
560.0,0.3098,0.4476
580.0,0.3055,0.5063
600.0,0.3008,0.5599
620.0,0.2957,0.6091
640.0,0.2904,0.6546
660.0,0.2849,0.6966
680.0,0.2792,0.7356
700.0,0.2735,0.7718
720.0,0.2677,0.8052
740.0,0.2619,0.8364
760.0,0.2561,0.8654
780.0,0.2504,0.8926
800.0,0.2447,0.9181
850.0,0.2308,0.9752
900.0,0.2176,1.024
950.0,0.205,1.0659999999999998
1000.0,0.1932,1.103
1041.0,0.184,1.13
1050.0,0.1821,1.136
1100.0,0.1717,1.164
1150.0,0.162,1.189
1200.0,0.153,1.211
1250.0,0.1445,1.231
1253.6,0.1439,1.233
1300.0,0.1366,1.249
1350.0,0.1293,1.265
1400.0,0.1225,1.279
1450.0,0.1161,1.2919999999999998
1486.6,0.1117,1.3
1500.0,0.1101,1.3030000000000002
