energy,cross_section,asymmetry_parameter
30.0,1.4469999999999998,0.9305
35.0,1.686,1.679
40.0,2.521,1.652
40.81,2.7260000000000004,1.594
45.0,4.069,1.239
50.0,6.146,0.8798
55.0,8.533,0.6434
60.0,11.12,0.4961
65.0,13.76,0.4055
70.0,16.23,0.3513
75.0,18.25,0.3217
80.0,19.68,0.3094
85.0,20.5,0.3099
90.0,20.78,0.3201
95.0,20.56,0.3378
100.0,19.88,0.3614
105.0,18.8,0.3895
110.0,17.39,0.4214
115.0,15.76,0.4565
120.0,14.03,0.4944
125.0,12.3,0.5351
130.0,10.66,0.5784
132.3,9.937,0.5992
135.0,9.129,0.6244
140.0,7.747000000000001,0.6732
145.0,6.518,0.725
150.0,5.442,0.7798
151.4,5.167999999999998,0.7957
155.0,4.513,0.8379
160.0,3.719,0.8995
165.0,3.048,0.9647
170.0,2.485,1.034
175.0,2.016,1.108
180.0,1.6269999999999998,1.186
185.0,1.307,1.269
190.0,1.044,1.357
195.0,0.8294,1.449
200.0,0.655,1.545
205.0,0.5143,1.641
210.0,0.4018,1.734
215.0,0.3126,1.816
220.0,0.2429,1.872
225.0,0.1894,1.884
230.0,0.1492,1.823
235.0,0.12,1.6569999999999998
240.0,0.09976,1.3630000000000002
245.0,0.08691,0.947
250.0,0.08004,0.4596
255.0,0.07802,-0.01986
260.0,0.07991000000000001,-0.4197
265.0,0.08489,-0.7059
270.0,0.09232,-0.8815
275.0,0.1016,-0.9691
280.0,0.1124,-0.9946
285.0,0.1242,-0.9801
290.0,0.1367,-0.9415
295.0,0.1497,-0.8893
300.0,0.1629,-0.8304
305.0,0.1763,-0.769
310.0,0.1895,-0.7075
315.0,0.2027,-0.6475
320.0,0.2155,-0.5897
325.0,0.2281,-0.5346
340.0,0.2632,-0.3858
360.0,0.3034,-0.2224
380.0,0.3352,-0.09051
400.0,0.3593,0.01827
420.0,0.3767,0.1101
440.0,0.3882,0.189
460.0,0.3949,0.2577
480.0,0.3975,0.3184
500.0,0.3968,0.3723
520.0,0.3935,0.4208
540.0,0.3883,0.4647
560.0,0.3814,0.5048
580.0,0.3734,0.5416
600.0,0.3644,0.5754
620.0,0.3547,0.6065
640.0,0.3447,0.6353
660.0,0.3344,0.6621
680.0,0.3239,0.6871
700.0,0.3135,0.7105
720.0,0.303,0.7324
740.0,0.2927,0.7528
760.0,0.2826,0.7721
780.0,0.2726,0.7901
800.0,0.263,0.8071
850.0,0.24,0.8455
900.0,0.2188,0.8789
950.0,0.1995,0.908
1000.0,0.1819,0.9335
1041.0,0.1688,0.9521
1050.0,0.166,0.9559
1100.0,0.1517,0.9756
1150.0,0.1387,0.993
1200.0,0.1271,1.008
1250.0,0.1165,1.022
1253.6,0.1158,1.023
1300.0,0.107,1.034
1350.0,0.09845,1.045
1400.0,0.09069,1.054
1450.0,0.08366,1.062
1486.6,0.07893,1.068
1500.0,0.07728,1.07
