energy,cross_section,asymmetry_parameter
10.2,2.402,2
15.0,1.118,2
16.7,0.9128,2
20.0,0.6564,2
21.2,0.5917,2
25.0,0.4441,2
26.8,0.3943,2
30.0,0.3256,2
35.0,0.2505,2
40.0,0.199,2
40.8,0.1922,2
45.0,0.1618,2
50.0,0.1341,2
55.0,0.113,2
60.0,0.09659,2
65.0,0.08365,2
70.0,0.07328,2
75.0,0.06483,2
80.0,0.05785,2
85.0,0.05201,2
90.0,0.04707,2
95.0,0.04286,2
100.0,0.03924,2
105.0,0.0361,2
110.0,0.03337,2
115.0,0.03097,2
120.0,0.028860000000000007,2
125.0,0.02699,2
130.0,0.02531,2
132.3,0.0246,2
135.0,0.02381,2
140.0,0.02245,2
145.0,0.02121,2
150.0,0.02007,2
151.4,0.01977,2
155.0,0.01903,2
160.0,0.01806,2
165.0,0.017159999999999998,2
170.0,0.01633,2
175.0,0.01556,2
180.0,0.01483,2
185.0,0.01416,2
190.0,0.01353,2
195.0,0.01294,2
200.0,0.01238,2
205.0,0.01187,2
210.0,0.01138,2
215.0,0.01093,2
220.0,0.0105,2
225.0,0.0101,2
230.0,0.009723,2
235.0,0.009368,2
240.0,0.009032,2
245.0,0.008715,2
250.0,0.008416,2
255.0,0.008134,2
260.0,0.007866,2
265.0,0.007613,2
270.0,0.007373,2
275.0,0.007145,2
280.0,0.006929,2
285.0,0.006725,2
290.0,0.006529999999999999,2
295.0,0.006345,2
300.0,0.006168,2
305.0,0.006,2
320.0,0.005538,2
340.0,0.005006,2
360.0,0.004548,2
380.0,0.00415,2
400.0,0.003802,2
420.0,0.003498,2
440.0,0.00323,2
460.0,0.002993,2
480.0,0.002783,2
500.0,0.002597,2
520.0,0.00243,2
540.0,0.00228,2
560.0,0.002145,2
580.0,0.002022,2
600.0,0.001909,2
620.0,0.001805,2
640.0,0.001709,2
660.0,0.001621,2
680.0,0.00154,2
700.0,0.001464,2
720.0,0.001394,2
740.0,0.00133,2
760.0,0.001269,2
780.0,0.001214,2
800.0,0.0011619999999999998,2
850.0,0.001046,2
900.0,0.0009479,2
950.0,0.0008625,2
1000.0,0.0007878999999999999,2
1041.0,0.0007338,2
1050.0,0.0007227000000000001,2
1100.0,0.0006656,2
1150.0,0.0006152999999999999,2
1200.0,0.0005707,2
1250.0,0.0005309000000000001,2
1253.6,0.0005282,2
1300.0,0.0004951,2
1350.0,0.0004627,2
1400.0,0.0004334,2
1450.0,0.0004069,2
1486.6,0.000389,2
1500.0,0.0003828,2
