energy,cross_section,asymmetry_parameter
60.0,0.3279,2
80.0,0.2899,2
100.0,0.2367,2
120.0,0.1947,2
132.3,0.1736,2
140.0,0.1618,2
151.4,0.1463,2
160.0,0.136,2
180.0,0.1161,2
200.0,0.1003,2
220.0,0.08753,2
240.0,0.07708999999999999,2
260.0,0.06851,2
280.0,0.06136000000000001,2
300.0,0.0553,2
320.0,0.05012,2
340.0,0.04566,2
360.0,0.04182,2
380.0,0.03846,2
400.0,0.0355,2
420.0,0.03288,2
440.0,0.03055,2
460.0,0.02848,2
480.0,0.02662,2
500.0,0.02494,2
520.0,0.02342,2
540.0,0.02204,2
560.0,0.02078,2
580.0,0.01964,2
600.0,0.01859,2
620.0,0.01762,2
640.0,0.016730000000000002,2
660.0,0.01591,2
680.0,0.01514,2
700.0,0.01444,2
720.0,0.01378,2
740.0,0.01317,2
760.0,0.0126,2
780.0,0.01207,2
800.0,0.01157,2
850.0,0.01045,2
900.0,0.009488,2
950.0,0.008657,2
1000.0,0.007931,2
1041.0,0.007403,2
1050.0,0.007294,2
1100.0,0.006731,2
1150.0,0.006233,2
1200.0,0.005787,2
1250.0,0.005388,2
1253.6,0.005361,2
1300.0,0.005029,2
1350.0,0.004706,2
1400.0,0.004412,2
1450.0,0.004145,2
1486.6,0.003966,2
1500.0,0.003903,2
