energy,cross_section,asymmetry_parameter
160.0,0.9089,-0.6013
165.0,1.244,-0.8843
170.0,1.4980000000000002,-0.1853
175.0,1.469,0.4515
180.0,1.359,0.8851
185.0,1.231,1.186
190.0,1.101,1.393
195.0,0.9755,1.528
200.0,0.8621,1.602
205.0,0.7636,1.626
210.0,0.6799,1.608
215.0,0.6095,1.554
220.0,0.5506,1.469
225.0,0.5013,1.356
230.0,0.4599,1.221
235.0,0.4253,1.068
240.0,0.3964,0.9034
245.0,0.3722,0.7315
250.0,0.3522,0.5581
255.0,0.3357,0.388
260.0,0.3222,0.2251
265.0,0.3114,0.07282999999999999
270.0,0.3028,-0.0665
275.0,0.2961,-0.1912
280.0,0.29100000000000004,-0.3004
285.0,0.2873,-0.3938
290.0,0.2848,-0.4717
295.0,0.2832,-0.535
300.0,0.2824,-0.5848
305.0,0.2822,-0.6222
310.0,0.2825,-0.6486
315.0,0.2832,-0.6655
320.0,0.2843,-0.6739
325.0,0.2855,-0.6751
330.0,0.287,-0.6701
335.0,0.2887,-0.6599
340.0,0.2904,-0.6451
345.0,0.2923,-0.6267
350.0,0.2942,-0.6052
355.0,0.2962,-0.5811
360.0,0.2981,-0.5551
365.0,0.3,-0.5276
370.0,0.3019,-0.4989
375.0,0.3038,-0.4694
380.0,0.3055,-0.4394
385.0,0.3072,-0.409
390.0,0.3088,-0.3785
395.0,0.3103,-0.348
400.0,0.3117,-0.3177
405.0,0.313,-0.2875
410.0,0.3142,-0.2576
415.0,0.3153,-0.2281
420.0,0.3164,-0.1989
425.0,0.3173,-0.1701
430.0,0.3181,-0.1417
435.0,0.3189,-0.1139
440.0,0.3196,-0.08647
445.0,0.3201,-0.05959
450.0,0.3206,-0.03324
455.0,0.321,-0.007445
460.0,0.3213,0.017830000000000002
480.0,0.3217,0.1132
500.0,0.3208,0.1999
520.0,0.319,0.2789
540.0,0.3164,0.3511
560.0,0.313,0.4173
580.0,0.309,0.4777
600.0,0.3046,0.5329999999999999
620.0,0.2998,0.5837
640.0,0.2947,0.6305
660.0,0.2894,0.6737
680.0,0.2839,0.7138
700.0,0.2783,0.7509999999999999
720.0,0.2726,0.7855
740.0,0.2669,0.8175
760.0,0.2612,0.8474
780.0,0.2555,0.8754
800.0,0.2499,0.9016
850.0,0.2361,0.9603
900.0,0.2228,1.011
950.0,0.2102,1.054
1000.0,0.1983,1.092
1041.0,0.189,1.12
1050.0,0.1871,1.125
1100.0,0.1766,1.155
1150.0,0.1667,1.181
1200.0,0.1575,1.204
1250.0,0.1489,1.224
1253.6,0.1483,1.225
1300.0,0.1409,1.242
1350.0,0.1334,1.259
1400.0,0.1264,1.273
1450.0,0.1199,1.286
1486.6,0.1154,1.295
1500.0,0.1138,1.298
