energy,cross_section,asymmetry_parameter
340.0,0.1999,2
360.0,0.1917,2
380.0,0.1782,2
400.0,0.16699999999999998,2
420.0,0.1571,2
440.0,0.1475,2
460.0,0.139,2
480.0,0.1314,2
500.0,0.1242,2
520.0,0.1175,2
540.0,0.1115,2
560.0,0.1059,2
580.0,0.1007,2
600.0,0.0958,2
620.0,0.09128,2
640.0,0.0871,2
660.0,0.08321,2
680.0,0.07956,2
700.0,0.07612999999999999,2
720.0,0.07292,2
740.0,0.06991,2
760.0,0.0671,2
780.0,0.06445,2
800.0,0.06195,2
850.0,0.0563,2
900.0,0.05139,2
950.0,0.0471,2
1000.0,0.04332,2
1041.0,0.04056,2
1050.0,0.03999,2
1100.0,0.03703,2
1150.0,0.03438,2
1200.0,0.032010000000000004,2
1250.0,0.02988,2
1253.6,0.02973,2
1300.0,0.02795,2
1350.0,0.0262,2
1400.0,0.02462,2
1450.0,0.02317,2
1486.6,0.02219,2
1500.0,0.02185,2
