energy,cross_section,asymmetry_parameter
300.0,0.2152,0.2271
305.0,0.1892,0.1678
310.0,0.1893,0.2524
315.0,0.2055,0.6148
320.0,0.2411,1.1740000000000002
325.0,0.2986,1.656
330.0,0.376,1.907
335.0,0.4783,1.965
340.0,0.6103,1.898
345.0,0.7732,1.765
350.0,0.9629,1.606
355.0,1.172,1.444
360.0,1.395,1.2919999999999998
365.0,1.626,1.155
370.0,1.863,1.033
375.0,2.101,0.9269
380.0,2.338,0.8341
385.0,2.569,0.7534
390.0,2.789,0.6835
395.0,2.9930000000000003,0.6231
400.0,3.181,0.5712
405.0,3.3510000000000004,0.5268
410.0,3.504,0.4889
415.0,3.641,0.4566
420.0,3.763,0.4293
425.0,3.873,0.4064
430.0,3.97,0.3871
435.0,4.055,0.3711
440.0,4.128,0.358
445.0,4.191,0.3473
450.0,4.243,0.3387
455.0,4.285,0.3321
460.0,4.319,0.3271
465.0,4.3439999999999985,0.3236
470.0,4.363,0.3214
475.0,4.376,0.3203
480.0,4.384,0.3203
485.0,4.387,0.3211
490.0,4.386,0.3228
495.0,4.382,0.3251
500.0,4.374,0.328
505.0,4.363,0.3315
510.0,4.35,0.3354
515.0,4.333,0.3398
520.0,4.313,0.3445
525.0,4.291,0.3494
530.0,4.267,0.3547
535.0,4.2410000000000005,0.3602
540.0,4.213,0.3659
545.0,4.183,0.3718
550.0,4.152,0.3778
555.0,4.12,0.384
560.0,4.087,0.3902
565.0,4.053,0.3966
570.0,4.018,0.4031
575.0,3.983,0.4096
580.0,3.947,0.4162
585.0,3.91,0.4228
590.0,3.873,0.4294
595.0,3.836,0.436
600.0,3.798,0.4427
620.0,3.643,0.4691
640.0,3.485,0.495
660.0,3.329,0.5202
680.0,3.175,0.5447
700.0,3.026,0.5683
720.0,2.881,0.591
740.0,2.741,0.6127
760.0,2.6060000000000003,0.6334
780.0,2.478,0.6532
800.0,2.356,0.6721
850.0,2.077,0.7156
900.0,1.833,0.7542
950.0,1.62,0.7884
1000.0,1.435,0.8188
1041.0,1.301,0.8412
1050.0,1.274,0.8458
1100.0,1.134,0.8698
1150.0,1.012,0.8911
1200.0,0.9051,0.9101
1250.0,0.8119,0.9271
1253.6,0.8057,0.9282
1300.0,0.7301,0.9421
1350.0,0.6582,0.9556
1400.0,0.5949,0.9675
1450.0,0.5389,0.9781
1486.6,0.502,0.9851
1500.0,0.4892,0.9876
