energy,cross_section,asymmetry_parameter
20.0,13.1,1.5519999999999998
21.22,10.12,1.608
25.0,5.154,1.724
26.86,3.88,1.754
30.0,2.522,1.768
35.0,1.392,1.6980000000000002
40.0,0.8404,1.519
40.81,0.7805,1.48
45.0,0.5512,1.25
50.0,0.3918,0.9331
55.0,0.2997,0.6215
60.0,0.2438,0.3556
65.0,0.208,0.1539
70.0,0.1839,0.01701
75.0,0.1668,-0.06401
80.0,0.1542,-0.1009
85.0,0.1446,-0.1048
90.0,0.13699999999999998,-0.08535
95.0,0.1307,-0.05027
100.0,0.1255,-0.005393
105.0,0.1209,0.04501
110.0,0.1169,0.09796
115.0,0.1133,0.1515
120.0,0.1099,0.2045
125.0,0.1068,0.2561
130.0,0.1039,0.3061
132.3,0.1026,0.3285
135.0,0.1012,0.3544
140.0,0.09855,0.4007
145.0,0.09606,0.4453
150.0,0.09367,0.4881
151.4,0.09303,0.4997
155.0,0.09139,0.5291
160.0,0.08918999999999999,0.5683
165.0,0.08707000000000001,0.6057
170.0,0.08503,0.6414
175.0,0.08306000000000001,0.6754
180.0,0.08115,0.7078
185.0,0.07931,0.7385
190.0,0.07753,0.7677
195.0,0.0758,0.7955
200.0,0.07414,0.8219
205.0,0.07253,0.8471
210.0,0.07097,0.8711
215.0,0.06946000000000001,0.894
220.0,0.068,0.9159
225.0,0.06658,0.937
230.0,0.06521,0.9572
235.0,0.06389,0.9766
240.0,0.0626,0.9953
245.0,0.06135,1.013
250.0,0.06014,1.031
255.0,0.05897,1.047
260.0,0.057829999999999986,1.063
265.0,0.05672000000000001,1.079
270.0,0.05565,1.094
275.0,0.05461,1.108
280.0,0.0536,1.122
285.0,0.052620000000000014,1.136
290.0,0.051660000000000005,1.148
295.0,0.05074,1.161
300.0,0.04984,1.173
305.0,0.04897,1.185
310.0,0.04812,1.196
315.0,0.04729,1.207
320.0,0.04649,1.217
340.0,0.04348,1.256
360.0,0.04077,1.291
380.0,0.0383,1.3230000000000002
400.0,0.03605,1.351
420.0,0.03399,1.376
440.0,0.03211,1.399
460.0,0.03038,1.42
480.0,0.02879,1.439
500.0,0.02733,1.457
520.0,0.02597,1.473
540.0,0.02472,1.4880000000000002
560.0,0.02356,1.5019999999999998
580.0,0.02248,1.514
600.0,0.02147,1.526
620.0,0.02053,1.537
640.0,0.01965,1.547
660.0,0.01883,1.557
680.0,0.01806,1.5659999999999998
700.0,0.01733,1.574
720.0,0.01665,1.582
740.0,0.016,1.59
760.0,0.0154,1.597
780.0,0.01483,1.6030000000000002
800.0,0.01429,1.609
850.0,0.01306,1.6230000000000002
900.0,0.01199,1.635
950.0,0.01104,1.646
1000.0,0.01021,1.655
1041.0,0.009593,1.662
1050.0,0.009465,1.663
1100.0,0.008801999999999999,1.67
1150.0,0.008206,1.6769999999999998
1200.0,0.0076700000000000015,1.682
1250.0,0.007186,1.6869999999999998
1253.6,0.007153000000000001,1.6880000000000002
1300.0,0.006747,1.692
1350.0,0.006348,1.695
1400.0,0.005984000000000001,1.699
1450.0,0.005649,1.702
1486.6,0.005423,1.704
1500.0,0.005343,1.705
