energy,cross_section,asymmetry_parameter
10.0,0.4495,2
10.2,0.4304,2
15.0,0.1866,2
16.7,0.1492,2
20.0,0.104,2
21.2,0.09303,2
25.0,0.06885,2
26.8,0.06106,2
30.0,0.050710000000000005,2
35.0,0.04003,2
40.0,0.03304,2
40.8,0.03213,2
45.0,0.02808,2
50.0,0.02432,2
55.0,0.02133,2
60.0,0.01887,2
65.0,0.01679,2
70.0,0.015,2
75.0,0.01347,2
80.0,0.01213,2
85.0,0.01097,2
90.0,0.009959,2
95.0,0.009073,2
100.0,0.008298,2
105.0,0.007615999999999999,2
110.0,0.007015,2
115.0,0.006484,2
120.0,0.006012,2
125.0,0.005592,2
130.0,0.005217,2
132.3,0.005058,2
135.0,0.004882,2
140.0,0.00458,2
145.0,0.004309,2
150.0,0.004063000000000001,2
151.4,0.003999,2
155.0,0.003841,2
160.0,0.00364,2
165.0,0.003457,2
170.0,0.0032890000000000003,2
175.0,0.003136,2
180.0,0.002995,2
185.0,0.002864,2
190.0,0.002744,2
195.0,0.002632,2
200.0,0.002527,2
205.0,0.002429,2
210.0,0.002337,2
215.0,0.002251,2
220.0,0.002169,2
225.0,0.002092,2
230.0,0.002019,2
235.0,0.001949,2
240.0,0.001883,2
245.0,0.00182,2
250.0,0.001761,2
255.0,0.001704,2
260.0,0.001649,2
265.0,0.001597,2
270.0,0.001548,2
275.0,0.001501,2
280.0,0.001456,2
285.0,0.001413,2
290.0,0.001372,2
295.0,0.001332,2
300.0,0.001295,2
320.0,0.00116,2
340.0,0.001046,2
360.0,0.0009494,2
380.0,0.000867,2
400.0,0.0007961,2
420.0,0.0007343,2
440.0,0.0006799,2
460.0,0.0006313,2
480.0,0.0005878,2
500.0,0.0005485,2
520.0,0.0005128999999999999,2
540.0,0.0004806,2
560.0,0.0004513,2
580.0,0.0004247,2
600.0,0.0004003,2
620.0,0.0003782,2
640.0,0.0003579,2
660.0,0.0003394,2
680.0,0.00032230000000000003,2
700.0,0.0003066,2
720.0,0.00029210000000000005,2
740.0,0.0002786,2
760.0,0.000266,2
780.0,0.0002542,2
800.0,0.0002432,2
850.0,0.0002186,2
900.0,0.0001975,2
950.0,0.0001794,2
1000.0,0.00016369999999999994,2
1041.0,0.0001525,2
1050.0,0.00015019999999999996,2
1100.0,0.0001383,2
1150.0,0.0001278,2
1200.0,0.0001185,2
1250.0,0.0001101,2
1253.6,0.00010959999999999998,2
1300.0,0.0001026,2
1350.0,9.593e-05,2
1400.0,8.989e-05,2
1450.0,8.443e-05,2
1486.6,8.076e-05,2
1500.0,7.946e-05,2
