energy,cross_section,asymmetry_parameter
1265.0,0.1095,2
1270.0,0.1042,2
1275.0,0.1023,2
1280.0,0.1019,2
1285.0,0.1021,2
1290.0,0.1025,2
1295.0,0.1027,2
1300.0,0.1027,2
1305.0,0.1025,2
1310.0,0.1021,2
1315.0,0.1016,2
1320.0,0.101,2
1325.0,0.1003,2
1330.0,0.09966,2
1335.0,0.09904,2
1340.0,0.09845,2
1345.0,0.09789,2
1350.0,0.09738,2
1355.0,0.09689,2
1360.0,0.09643,2
1365.0,0.09598,2
1370.0,0.09554,2
1375.0,0.09511,2
1380.0,0.09466,2
1385.0,0.0942,2
1390.0,0.09374,2
1395.0,0.09326,2
1400.0,0.09277,2
1405.0,0.09227,2
1410.0,0.09176,2
1415.0,0.09125,2
1420.0,0.09074,2
1425.0,0.09023,2
1430.0,0.08972999999999999,2
1435.0,0.08922000000000001,2
1440.0,0.08872999999999999,2
1445.0,0.08825,2
1450.0,0.08777,2
1455.0,0.0873,2
1460.0,0.08684,2
1465.0,0.08639,2
1470.0,0.08594,2
1475.0,0.08551,2
1480.0,0.08507,2
1485.0,0.08463999999999999,2
1486.6,0.0845,2
1490.0,0.08421000000000001,2
1495.0,0.08379,2
1500.0,0.08337,2
