energy,cross_section,asymmetry_parameter
110.0,0.4561,0.1014
115.0,0.429,-0.2069
120.0,0.424,-0.5856
125.0,0.4362,-0.7525
130.0,0.4579,-0.7459
132.3,0.4698,-0.7074
135.0,0.4845,-0.6449
140.0,0.5135,-0.5012
145.0,0.5436,-0.3427
150.0,0.5737,-0.1839
151.4,0.5822,-0.1404
155.0,0.603,-0.03235
160.0,0.6307,0.1084
165.0,0.6559999999999999,0.2366
170.0,0.6785,0.3523
175.0,0.698,0.4557
180.0,0.7144,0.5479999999999999
185.0,0.7279,0.6301
190.0,0.7387,0.7032
195.0,0.7471,0.7684
200.0,0.7534,0.8270000000000001
205.0,0.7578,0.8794
210.0,0.7607,0.9268
215.0,0.7621,0.9699
220.0,0.7623,1.009
225.0,0.7614,1.045
230.0,0.7595,1.078
235.0,0.7567,1.109
240.0,0.753,1.137
245.0,0.7485,1.163
250.0,0.7433,1.188
255.0,0.7374,1.211
260.0,0.731,1.232
265.0,0.7240000000000001,1.252
270.0,0.7166,1.271
275.0,0.7088,1.288
280.0,0.7006,1.305
285.0,0.6923,1.32
290.0,0.6837,1.335
295.0,0.675,1.348
300.0,0.6662,1.361
305.0,0.6573,1.3730000000000002
310.0,0.6485,1.384
315.0,0.6396,1.395
320.0,0.6307,1.405
325.0,0.6219,1.415
330.0,0.6131,1.4240000000000002
335.0,0.6044,1.433
340.0,0.5957,1.4409999999999998
345.0,0.5871,1.449
350.0,0.5786,1.456
355.0,0.5701,1.463
360.0,0.5617,1.47
365.0,0.5533,1.476
370.0,0.5451,1.482
375.0,0.5369,1.4880000000000002
380.0,0.5288,1.494
385.0,0.5208,1.499
390.0,0.5129,1.504
395.0,0.5051,1.509
400.0,0.4974,1.514
405.0,0.4898,1.518
420.0,0.4676,1.531
440.0,0.4397,1.545
460.0,0.4137,1.557
480.0,0.3895,1.567
500.0,0.3670000000000001,1.575
520.0,0.34600000000000003,1.582
540.0,0.3263,1.589
560.0,0.308,1.594
580.0,0.2909,1.598
600.0,0.275,1.601
620.0,0.2602,1.604
640.0,0.2464,1.607
660.0,0.2336,1.608
680.0,0.2216,1.61
700.0,0.2103,1.611
720.0,0.1998,1.611
740.0,0.1899,1.612
760.0,0.1807,1.612
780.0,0.172,1.611
800.0,0.1639,1.611
850.0,0.1457,1.609
900.0,0.13,1.606
950.0,0.1165,1.602
1000.0,0.1047,1.597
1041.0,0.09617,1.5930000000000002
1050.0,0.09443,1.592
1100.0,0.08546000000000001,1.586
1150.0,0.07757,1.581
1200.0,0.07059,1.574
1250.0,0.06442,1.568
1253.6,0.06401,1.568
1300.0,0.05895,1.5619999999999998
1350.0,0.054070000000000014,1.555
1400.0,0.0497,1.548
1450.0,0.04578,1.541
1486.6,0.04317,1.536
1500.0,0.04226,1.535
