energy,cross_section,asymmetry_parameter
35.0,6.147,1.948
40.0,3.678,1.944
40.81,3.388,1.927
45.0,2.257,1.7919999999999998
50.0,1.464,1.548
55.0,1.013,1.247
60.0,0.745,0.9243
65.0,0.5796,0.6121
70.0,0.474,0.3395
75.0,0.4049,0.127
80.0,0.3587,-0.01734
85.0,0.327,-0.09802
90.0,0.3045,-0.1269
95.0,0.28800000000000003,-0.1181
100.0,0.2752,-0.08411
105.0,0.2649,-0.03427
110.0,0.2562,0.02481
115.0,0.2486,0.08881
120.0,0.2419,0.1548
125.0,0.2357,0.221
130.0,0.23,0.2859
132.3,0.2274,0.3151
135.0,0.2245,0.3487
140.0,0.2194,0.4088
145.0,0.2144,0.4659
150.0,0.2097,0.5197
151.4,0.2083,0.5342
155.0,0.205,0.5703
160.0,0.2005,0.6178
165.0,0.1962,0.6623
170.0,0.1919,0.7041
175.0,0.1878,0.7434
180.0,0.1838,0.7805
185.0,0.1799,0.8155
190.0,0.1761,0.8487
195.0,0.1724,0.8802
200.0,0.1688,0.91
205.0,0.1653,0.9384
210.0,0.1618,0.9653
215.0,0.1585,0.9909
220.0,0.1553,1.015
225.0,0.1521,1.038
230.0,0.1491,1.06
235.0,0.1461,1.081
240.0,0.1432,1.101
245.0,0.1404,1.12
250.0,0.1376,1.138
255.0,0.135,1.155
260.0,0.1324,1.172
265.0,0.1299,1.187
270.0,0.1275,1.202
275.0,0.1251,1.217
280.0,0.1228,1.231
285.0,0.1206,1.244
290.0,0.1184,1.257
295.0,0.1162,1.27
300.0,0.1142,1.2819999999999998
305.0,0.1121,1.293
310.0,0.1102,1.304
315.0,0.1083,1.315
320.0,0.1064,1.325
325.0,0.1046,1.335
330.0,0.1028,1.345
340.0,0.09938,1.3630000000000002
360.0,0.09306,1.396
380.0,0.08734,1.425
400.0,0.08213,1.4509999999999998
420.0,0.07737000000000001,1.474
440.0,0.07302,1.494
460.0,0.06904,1.513
480.0,0.06538,1.529
500.0,0.06202000000000001,1.544
520.0,0.05891,1.558
540.0,0.056020000000000014,1.57
560.0,0.05335,1.581
580.0,0.05086,1.592
600.0,0.04855,1.601
620.0,0.04639,1.61
640.0,0.04438,1.618
660.0,0.04249,1.625
680.0,0.04072,1.632
700.0,0.03906,1.638
720.0,0.0375,1.644
740.0,0.03603,1.65
760.0,0.03465,1.655
780.0,0.03335,1.659
800.0,0.03211,1.664
850.0,0.029310000000000006,1.673
900.0,0.02685,1.681
950.0,0.02469,1.6869999999999998
1000.0,0.02277,1.693
1041.0,0.02135,1.696
1050.0,0.02106,1.6969999999999998
1100.0,0.01953,1.7009999999999998
1150.0,0.01816,1.704
1200.0,0.016919999999999998,1.706
1250.0,0.0158,1.7080000000000002
1253.6,0.01573,1.7080000000000002
1300.0,0.01479,1.709
1350.0,0.01387,1.71
1400.0,0.013030000000000002,1.711
1450.0,0.01225,1.711
1486.6,0.01173,1.711
1500.0,0.01155,1.711
