energy,cross_section,asymmetry_parameter
10.0,16.02,1.391
10.2,15.27,1.412
15.0,5.0539999999999985,1.734
16.71,3.517,1.796
20.0,1.848,1.863
21.22,1.482,1.872
25.0,0.7914,1.844
26.86,0.5982,1.8
30.0,0.3878,1.682
35.0,0.2134,1.384
40.0,0.1308,0.9817
40.81,0.122,0.9111
45.0,0.08897999999999999,0.5463
50.0,0.06694,0.1727
55.0,0.05496,-0.06919
60.0,0.04828,-0.1666
65.0,0.04444,-0.1515
70.0,0.0421,-0.06855
75.0,0.04054,0.046380000000000005
80.0,0.03936,0.1706
85.0,0.03838,0.292
90.0,0.03748,0.4051
95.0,0.03661,0.5081
100.0,0.03576,0.6009
105.0,0.03492,0.6841
110.0,0.03408,0.7589
115.0,0.033260000000000005,0.8262
120.0,0.03245,0.887
125.0,0.03165,0.942
130.0,0.03087,0.992
132.3,0.03051,1.013
135.0,0.0301,1.038
140.0,0.02936,1.079
145.0,0.028630000000000006,1.117
150.0,0.02792,1.152
151.4,0.02773,1.161
155.0,0.02723,1.1840000000000002
160.0,0.02657,1.214
165.0,0.02592,1.241
170.0,0.02529,1.266
175.0,0.02469,1.289
180.0,0.0241,1.311
185.0,0.02354,1.331
190.0,0.02299,1.349
195.0,0.02247,1.366
200.0,0.02196,1.382
205.0,0.02146,1.3969999999999998
210.0,0.02099,1.411
215.0,0.02052,1.4240000000000002
220.0,0.02007,1.4369999999999998
225.0,0.01963,1.4480000000000002
230.0,0.01921,1.459
235.0,0.01879,1.469
240.0,0.01839,1.479
245.0,0.01799,1.4880000000000002
250.0,0.0176,1.497
255.0,0.017230000000000002,1.505
260.0,0.01686,1.513
265.0,0.0165,1.52
270.0,0.01615,1.527
275.0,0.0158,1.534
280.0,0.01547,1.54
285.0,0.01514,1.546
290.0,0.014819999999999996,1.551
295.0,0.01451,1.557
300.0,0.0142,1.5619999999999998
305.0,0.01391,1.5659999999999998
320.0,0.013069999999999998,1.579
340.0,0.01205,1.594
360.0,0.01113,1.605
380.0,0.0103,1.615
400.0,0.009558,1.6230000000000002
420.0,0.008884999999999999,1.63
440.0,0.008277,1.635
460.0,0.007726999999999999,1.64
480.0,0.007228,1.643
500.0,0.006773,1.646
520.0,0.006357,1.649
540.0,0.005975,1.65
560.0,0.005622,1.652
580.0,0.005296,1.652
600.0,0.004993,1.653
620.0,0.004713,1.652
640.0,0.004453,1.652
660.0,0.004212,1.651
680.0,0.003987,1.65
700.0,0.003779,1.649
720.0,0.003584000000000001,1.648
740.0,0.003403,1.646
760.0,0.003235,1.644
780.0,0.003077,1.642
800.0,0.00293,1.641
850.0,0.002601,1.635
900.0,0.002322,1.63
950.0,0.002081,1.624
1000.0,0.001873,1.618
1041.0,0.0017219999999999998,1.612
1050.0,0.001691,1.611
1100.0,0.001531,1.604
1150.0,0.001391,1.597
1200.0,0.001267,1.59
1250.0,0.001158,1.5830000000000002
1253.6,0.001151,1.582
1300.0,0.001061,1.5759999999999998
1350.0,0.0009747,1.568
1400.0,0.0008975,1.561
1450.0,0.0008282999999999999,1.554
1486.6,0.0007819,1.5490000000000002
1500.0,0.0007659,1.547
