energy,cross_section,asymmetry_parameter
16.7,3.637,2
20.0,2.216,2
21.2,1.885,2
25.0,1.187,2
26.8,0.9745,2
30.0,0.7061,2
35.0,0.4526,2
40.0,0.3066,2
40.8,0.2893,2
45.0,0.2168,2
50.0,0.1587,2
55.0,0.1194,2
60.0,0.092,2
65.0,0.07228,2
70.0,0.05776,2
75.0,0.04684,2
80.0,0.03847,2
85.0,0.03196,2
90.0,0.02682,2
95.0,0.02271,2
100.0,0.01938,2
105.0,0.016669999999999997,2
110.0,0.014430000000000004,2
115.0,0.01257,2
120.0,0.01101,2
125.0,0.009693,2
130.0,0.008575,2
132.3,0.008117000000000001,2
135.0,0.007619,2
140.0,0.006798,2
145.0,0.006089,2
150.0,0.005473,2
151.4,0.005315,2
155.0,0.004936,2
160.0,0.004466,2
165.0,0.004052,2
170.0,0.003687,2
175.0,0.003364,2
180.0,0.003077,2
185.0,0.002821,2
190.0,0.002592,2
195.0,0.002386,2
200.0,0.0022010000000000003,2
205.0,0.0020350000000000004,2
210.0,0.001884,2
215.0,0.001748,2
220.0,0.0016239999999999998,2
225.0,0.001512,2
230.0,0.001409,2
235.0,0.001315,2
240.0,0.0012289999999999998,2
245.0,0.001151,2
250.0,0.001078,2
255.0,0.001012,2
260.0,0.0009508,2
265.0,0.0008943,2
270.0,0.0008420999999999999,2
275.0,0.0007937,2
280.0,0.000749,2
285.0,0.0007074,2
290.0,0.0006688,2
295.0,0.0006328999999999999,2
300.0,0.0005993999999999999,2
305.0,0.0005683,2
310.0,0.0005391,2
320.0,0.0004865,2
340.0,0.0003997,2
360.0,0.000332,2
380.0,0.0002784,2
400.0,0.0002356,2
420.0,0.0002009,2
440.0,0.0001726,2
460.0,0.0001492,2
480.0,0.0001298,2
500.0,0.0001135,2
520.0,9.98e-05,2
540.0,8.815e-05,2
560.0,7.821e-05,2
580.0,6.967e-05,2
600.0,6.23e-05,2
620.0,5.591e-05,2
640.0,5.035e-05,2
660.0,4.548e-05,2
680.0,4.121e-05,2
700.0,3.744e-05,2
720.0,3.41e-05,2
740.0,3.114e-05,2
760.0,2.85e-05,2
780.0,2.615e-05,2
800.0,2.404e-05,2
850.0,1.966e-05,2
900.0,1.625e-05,2
950.0,1.357e-05,2
1000.0,1.144e-05,2
1041.0,1e-05,2
1050.0,9.719e-06,2
1100.0,8.319e-06,2
1150.0,7.17e-06,2
1200.0,6.218e-06,2
1250.0,5.423e-06,2
1253.6,5.371e-06,2
1300.0,4.755e-06,2
1350.0,4.19e-06,2
1400.0,3.708e-06,2
1450.0,3.2960000000000007e-06,2
1486.6,3.0310000000000007e-06,2
1500.0,2.942e-06,2
