energy,cross_section,asymmetry_parameter
20.0,9.959,0.2781
21.22,11.74,0.02312
25.0,19.89,-0.1691
26.86,25.09,-0.1223
30.0,34.67,0.01081
35.0,46.34,0.2406
40.0,46.64,0.4459
40.81,45.71,0.4764
45.0,38.84,0.6238
50.0,29.83,0.7805
55.0,22.39,0.9213
60.0,16.78,1.05
65.0,12.62,1.17
70.0,9.538,1.2819999999999998
75.0,7.25,1.388
80.0,5.544,1.487
85.0,4.268,1.579
90.0,3.309,1.665
95.0,2.584,1.743
100.0,2.0340000000000003,1.813
105.0,1.612,1.874
110.0,1.287,1.924
115.0,1.034,1.962
120.0,0.8373,1.985
125.0,0.6825,1.991
130.0,0.5603,1.976
132.3,0.5131,1.962
135.0,0.4638,1.938
140.0,0.3872,1.874
145.0,0.3265,1.781
150.0,0.2783,1.66
151.4,0.2667,1.62
155.0,0.2402,1.509
160.0,0.21,1.3330000000000002
165.0,0.1863,1.136
170.0,0.1676,0.926
175.0,0.1532,0.7104
180.0,0.142,0.4985
185.0,0.1335,0.2982
190.0,0.1271,0.1162
195.0,0.1225,-0.04286
200.0,0.1192,-0.1766
205.0,0.117,-0.2844
210.0,0.1158,-0.3674
215.0,0.1152,-0.4275
220.0,0.1151,-0.4674
225.0,0.1155,-0.49
230.0,0.1162,-0.4982
235.0,0.1172,-0.4945
240.0,0.1183,-0.4814
245.0,0.1195,-0.4609
250.0,0.1209,-0.4347
255.0,0.1222,-0.4044
260.0,0.1236,-0.371
265.0,0.1249,-0.3356
270.0,0.1262,-0.2988
275.0,0.1275,-0.2613
280.0,0.1287,-0.2234
285.0,0.1298,-0.1856
290.0,0.1309,-0.1482
295.0,0.1318,-0.1112
300.0,0.1327,-0.07488
305.0,0.1336,-0.03933
310.0,0.1343,-0.004588
315.0,0.135,0.02929
320.0,0.1356,0.06226
340.0,0.1372,0.185
360.0,0.1378,0.2936
380.0,0.1374,0.3893
400.0,0.1363,0.4735
420.0,0.1346,0.5479
440.0,0.1324,0.6139
460.0,0.1299,0.6728
480.0,0.1272,0.7257
500.0,0.1242,0.7734
520.0,0.1211,0.8166
540.0,0.1179,0.8559
560.0,0.1147,0.8916
580.0,0.1114,0.9242
600.0,0.1082,0.954
620.0,0.105,0.9814
640.0,0.1019,1.007
660.0,0.09883,1.03
680.0,0.09583,1.052
700.0,0.0929,1.072
720.0,0.09005,1.09
740.0,0.08728,1.108
760.0,0.0846,1.124
780.0,0.08201,1.139
800.0,0.07951,1.153
850.0,0.07361000000000001,1.1840000000000002
900.0,0.06821,1.211
950.0,0.06327,1.234
1000.0,0.05877,1.253
1041.0,0.05536,1.267
1050.0,0.05465,1.27
1100.0,0.05089,1.285
1150.0,0.04746,1.298
1200.0,0.0443,1.3090000000000002
1250.0,0.04142,1.318
1253.6,0.04123,1.319
1300.0,0.03878,1.327
1350.0,0.03635,1.334
1400.0,0.03412,1.34
1450.0,0.03205,1.345
1486.6,0.03065,1.349
1500.0,0.03015,1.35
