energy,cross_section,asymmetry_parameter
120.0,0.2918,2
132.3,0.2729,2
140.0,0.2632,2
151.4,0.2487,2
160.0,0.2374,2
180.0,0.2111,2
200.0,0.188,2
220.0,0.1685,2
240.0,0.1519,2
260.0,0.1375,2
280.0,0.1247,2
300.0,0.1136,2
320.0,0.1039,2
340.0,0.09546,2
360.0,0.08802,2
380.0,0.08141,2
400.0,0.07549,2
420.0,0.07019,2
440.0,0.06543,2
460.0,0.06115,2
480.0,0.0573,2
500.0,0.0538,2
520.0,0.05062,2
540.0,0.04772,2
560.0,0.04506,2
580.0,0.04261,2
600.0,0.04037,2
620.0,0.0383,2
640.0,0.03639,2
660.0,0.03463,2
680.0,0.03299,2
700.0,0.03147,2
720.0,0.030060000000000007,2
740.0,0.02874,2
760.0,0.0275,2
780.0,0.02634,2
800.0,0.02526,2
850.0,0.02284,2
900.0,0.02076,2
950.0,0.01896,2
1000.0,0.01738,2
1041.0,0.01624,2
1050.0,0.016,2
1100.0,0.01479,2
1150.0,0.01371,2
1200.0,0.01274,2
1250.0,0.01188,2
1253.6,0.01182,2
1300.0,0.0111,2
1350.0,0.0104,2
1400.0,0.009769,2
1450.0,0.009191,2
1486.6,0.0088,2
1500.0,0.008662999999999999,2
