energy,cross_section,asymmetry_parameter
60.0,0.307,2
80.0,0.2866,2
100.0,0.241,2
120.0,0.2006,2
132.3,0.1801,2
140.0,0.1687,2
151.4,0.1533,2
160.0,0.1429,2
180.0,0.1225,2
200.0,0.1063,2
220.0,0.0931,2
240.0,0.08223,2
260.0,0.07321,2
280.0,0.06568,2
300.0,0.0593,2
320.0,0.05383,2
340.0,0.04911,2
360.0,0.04502,2
380.0,0.04144,2
400.0,0.03829,2
420.0,0.0355,2
440.0,0.03302,2
460.0,0.0308,2
480.0,0.0288,2
500.0,0.027010000000000003,2
520.0,0.02538,2
540.0,0.0239,2
560.0,0.02255,2
580.0,0.02132,2
600.0,0.02019,2
620.0,0.01915,2
640.0,0.01819,2
660.0,0.01731,2
680.0,0.01649,2
700.0,0.01573,2
720.0,0.01502,2
740.0,0.01436,2
760.0,0.01375,2
780.0,0.01317,2
800.0,0.01263,2
850.0,0.01143,2
900.0,0.01039,2
950.0,0.009488,2
1000.0,0.008704,2
1041.0,0.008131000000000001,2
1050.0,0.008013,2
1100.0,0.007404000000000002,2
1150.0,0.006862999999999999,2
1200.0,0.006379,2
1250.0,0.005946,2
1253.6,0.005915999999999999,2
1300.0,0.005555,2
1350.0,0.005203,2
1400.0,0.004884,2
1450.0,0.004592000000000001,2
1486.6,0.0043950000000000005,2
1500.0,0.004327,2
