energy,cross_section,asymmetry_parameter
180.0,0.2375,2
200.0,0.2519,2
220.0,0.2321,2
240.0,0.2116,2
260.0,0.1956,2
280.0,0.181,2
300.0,0.16699999999999998,2
320.0,0.1542,2
340.0,0.14300000000000002,2
360.0,0.133,2
380.0,0.124,2
400.0,0.1157,2
420.0,0.1082,2
440.0,0.1013,2
460.0,0.09514,2
480.0,0.08952,2
500.0,0.08438,2
520.0,0.07964,2
540.0,0.07527,2
560.0,0.07124,2
580.0,0.06752999999999999,2
600.0,0.06411,2
620.0,0.06095,2
640.0,0.05802,2
660.0,0.05529,2
680.0,0.05274,2
700.0,0.05035,2
720.0,0.04813,2
740.0,0.04605,2
760.0,0.0441,2
780.0,0.04228,2
800.0,0.04057,2
850.0,0.03672,2
900.0,0.03338,2
950.0,0.03048,2
1000.0,0.02794,2
1041.0,0.02609,2
1050.0,0.025710000000000004,2
1100.0,0.02373,2
1150.0,0.02197,2
1200.0,0.02041,2
1250.0,0.019,2
1253.6,0.01891,2
1300.0,0.017730000000000003,2
1350.0,0.01659,2
1400.0,0.01555,2
1450.0,0.01461,2
1486.6,0.013969999999999998,2
1500.0,0.01375,2
