energy,cross_section,asymmetry_parameter
465.0,0.1066,0.5025
470.0,0.1492,1.4340000000000002
475.0,0.3262,1.812
480.0,0.8444,1.629
485.0,1.6969999999999998,1.3230000000000002
490.0,2.6010000000000004,1.065
495.0,3.365,0.868
500.0,3.894,0.7219
505.0,4.168,0.6147
510.0,4.24,0.537
515.0,4.192,0.4817
520.0,4.0939999999999985,0.4434
525.0,3.984,0.4181
530.0,3.879,0.4027
535.0,3.784,0.3947
540.0,3.698,0.3925
545.0,3.619,0.3945
550.0,3.544,0.3999
555.0,3.472,0.4076
560.0,3.402,0.4173
565.0,3.333,0.4283
570.0,3.267,0.4404
575.0,3.204,0.4533
580.0,3.143,0.4668
585.0,3.085,0.4807
590.0,3.03,0.4949
595.0,2.978,0.5093
600.0,2.927,0.5238
605.0,2.879,0.5383
610.0,2.832,0.5528
615.0,2.786,0.5672
620.0,2.742,0.5814
625.0,2.698,0.5954
630.0,2.655,0.6093
635.0,2.613,0.6228
640.0,2.572,0.6361
645.0,2.531,0.6492
650.0,2.491,0.6619
655.0,2.452,0.6744
660.0,2.4130000000000003,0.6866
665.0,2.376,0.6985
670.0,2.339,0.7101
675.0,2.303,0.7215
680.0,2.268,0.7326
685.0,2.233,0.7435
690.0,2.2,0.7541
695.0,2.167,0.7644
700.0,2.134,0.7746
705.0,2.102,0.7845
710.0,2.071,0.7941
715.0,2.04,0.8036
720.0,2.01,0.8128
725.0,1.98,0.8218
730.0,1.951,0.8306
735.0,1.922,0.8392
740.0,1.894,0.8476
745.0,1.866,0.8558
750.0,1.838,0.8638
755.0,1.811,0.8716
760.0,1.785,0.8793
780.0,1.683,0.908
800.0,1.588,0.9341
850.0,1.378,0.99
900.0,1.2,1.035
950.0,1.0490000000000002,1.071
1000.0,0.9201,1.1
1041.0,0.8288,1.12
1050.0,0.8103,1.124
1100.0,0.7165,1.143
1150.0,0.6358,1.159
1200.0,0.5662,1.171
1250.0,0.5059,1.182
1253.6,0.5019,1.182
1300.0,0.4536,1.19
1350.0,0.4079,1.196
1400.0,0.3678,1.2009999999999998
1450.0,0.3327,1.204
1486.6,0.3097,1.206
1500.0,0.3017,1.206
