energy,cross_section,asymmetry_parameter
10.0,3.0980000000000003,1.606
10.2,2.932,1.619
15.0,0.9396,1.807
16.7,0.6709,1.831
20.0,0.3756,1.828
21.2,0.3105,1.811
25.0,0.1806,1.714
26.8,0.1437,1.646
30.0,0.09949,1.496
35.0,0.06092,1.207
40.0,0.04069,0.8838
40.8,0.03842,0.8317
45.0,0.02928,0.5671
50.0,0.02247,0.2938
55.0,0.01822,0.08882000000000001
60.0,0.01545,-0.04017
65.0,0.01357,-0.09996
70.0,0.01224,-0.1055
75.0,0.01125,-0.07314
80.0,0.01049,-0.01714
85.0,0.009877,0.05197
90.0,0.009365,0.1271
95.0,0.008927,0.2037
100.0,0.008543,0.2792
105.0,0.008202,0.35200000000000004
110.0,0.007894,0.4215
115.0,0.007614,0.4874
120.0,0.007358,0.5495
125.0,0.007122,0.608
130.0,0.006904,0.6629
132.3,0.006809,0.6871
135.0,0.0067,0.7145
140.0,0.006511,0.7628
145.0,0.006332,0.8081
150.0,0.006165,0.8505
151.4,0.00612,0.8619
155.0,0.006007,0.8902
160.0,0.005857,0.9275
165.0,0.005715,0.9624
170.0,0.00558,0.9952
175.0,0.005451,1.026
180.0,0.005328,1.055
185.0,0.00521,1.082
190.0,0.005097,1.108
195.0,0.004988,1.132
200.0,0.004883,1.155
205.0,0.0047810000000000005,1.177
210.0,0.004682,1.197
215.0,0.004586,1.217
220.0,0.004493,1.235
225.0,0.0044020000000000005,1.253
230.0,0.004314,1.269
235.0,0.004228,1.285
240.0,0.004144,1.301
245.0,0.004061,1.315
250.0,0.003981,1.329
255.0,0.003902000000000001,1.342
260.0,0.003826,1.355
265.0,0.003751,1.367
270.0,0.003677,1.378
275.0,0.003606,1.389
280.0,0.003536,1.4
285.0,0.003467,1.41
290.0,0.003401,1.419
295.0,0.003336,1.429
300.0,0.003272,1.4380000000000002
320.0,0.003034,1.47
340.0,0.0028190000000000003,1.497
360.0,0.0026260000000000003,1.521
380.0,0.002451,1.5419999999999998
400.0,0.002294,1.56
420.0,0.002152,1.5759999999999998
440.0,0.002023,1.59
460.0,0.001905,1.6030000000000002
480.0,0.001798,1.614
500.0,0.0016989999999999998,1.624
520.0,0.001607,1.633
540.0,0.001523,1.641
560.0,0.001444,1.648
580.0,0.001371,1.654
600.0,0.001303,1.66
620.0,0.001239,1.665
640.0,0.00118,1.669
660.0,0.001124,1.673
680.0,0.001073,1.6769999999999998
700.0,0.001024,1.68
720.0,0.0009789,1.683
740.0,0.0009366,1.685
760.0,0.0008969,1.6880000000000002
780.0,0.0008596,1.69
800.0,0.0008246000000000001,1.692
850.0,0.0007455,1.695
900.0,0.0006768,1.6969999999999998
950.0,0.0006167000000000001,1.699
1000.0,0.0005638,1.699
1041.0,0.000525,1.699
1050.0,0.000517,1.699
1100.0,0.0004756,1.6980000000000002
1150.0,0.0004386,1.6969999999999998
1200.0,0.0004057,1.695
1250.0,0.0003763,1.693
1253.6,0.0003743000000000001,1.693
1300.0,0.0003497,1.6909999999999998
1350.0,0.00032569999999999995,1.689
1400.0,0.000304,1.686
1450.0,0.0002843,1.683
1486.6,0.000271,1.681
1500.0,0.0002663,1.68
