energy,cross_section,asymmetry_parameter
315.0,0.3117,0.2331
320.0,0.2806,0.3588
325.0,0.2662,0.5928
330.0,0.2658,0.7979999999999999
335.0,0.2741,0.7076
340.0,0.2855,0.4475
345.0,0.2988,0.1629
350.0,0.3137,-0.09675
355.0,0.3296,-0.317
360.0,0.3458,-0.4939
365.0,0.3616,-0.6292
370.0,0.3769,-0.7275
375.0,0.3915,-0.7949
380.0,0.4057,-0.8373
385.0,0.4196,-0.8597
390.0,0.4335,-0.8665
395.0,0.4473,-0.861
400.0,0.4611,-0.8459
405.0,0.4748,-0.8234
410.0,0.4883,-0.7954
415.0,0.5015,-0.7632
420.0,0.5143,-0.7279
425.0,0.5266,-0.6906
430.0,0.5383,-0.6519
435.0,0.5494,-0.6124
440.0,0.5599,-0.5726
445.0,0.5699,-0.5326
450.0,0.5793,-0.4929
455.0,0.5882,-0.4535
460.0,0.5966,-0.4146
465.0,0.6047,-0.3763
470.0,0.6123,-0.3386
475.0,0.6196,-0.3016
480.0,0.6265,-0.2654
485.0,0.6331,-0.2299
490.0,0.6393,-0.1953
495.0,0.6451,-0.1615
500.0,0.6505,-0.1286
505.0,0.6556,-0.09659
510.0,0.6602,-0.06547
515.0,0.6645,-0.03522
520.0,0.6684,-0.005845
525.0,0.6719,0.02266
530.0,0.6751,0.05032
535.0,0.6779999999999999,0.07716
540.0,0.6805,0.1032
545.0,0.6827,0.1285
550.0,0.6847,0.1531
555.0,0.6864,0.1769
560.0,0.6878,0.2001
565.0,0.6891,0.2226
570.0,0.6901,0.2446
575.0,0.6909,0.2659
580.0,0.6915,0.2867
585.0,0.6919,0.307
590.0,0.6921,0.3267
595.0,0.6921,0.3459
600.0,0.6920000000000001,0.3646
605.0,0.6917,0.3829
610.0,0.6912,0.4007
620.0,0.6898,0.4349
640.0,0.685,0.4984
660.0,0.6782,0.5558
680.0,0.6698,0.6078
700.0,0.6602,0.6551
720.0,0.6497,0.6985
740.0,0.6383,0.7383
760.0,0.6263,0.775
780.0,0.6138,0.8088
800.0,0.6009,0.84
850.0,0.5681,0.9084
900.0,0.5352,0.9656
950.0,0.503,1.014
1000.0,0.4721,1.055
1041.0,0.448,1.084
1050.0,0.4428,1.09
1100.0,0.4151,1.121
1150.0,0.3892,1.147
1200.0,0.3649,1.17
1250.0,0.3424,1.19
1253.6,0.3408,1.1909999999999998
1300.0,0.3213,1.208
1350.0,0.3017,1.223
1400.0,0.2836,1.237
1450.0,0.2667,1.249
1486.6,0.2551,1.256
1500.0,0.251,1.259
