energy,cross_section,asymmetry_parameter
95.0,0.5482,0.4368
100.0,0.5796,0.6449
105.0,0.5785,0.927
110.0,0.5797,1.244
115.0,0.6052,1.515
120.0,0.6669,1.65
125.0,0.7647,1.629
130.0,0.8964,1.505
132.3,0.9674,1.431
135.0,1.0590000000000002,1.337
140.0,1.249,1.164
145.0,1.465,1.003
150.0,1.704,0.8631
151.4,1.774,0.8276
155.0,1.962,0.7438
160.0,2.235,0.6439
165.0,2.516,0.5613
170.0,2.799,0.4935
175.0,3.077,0.4382
180.0,3.346,0.3935
185.0,3.602,0.3577
190.0,3.843,0.3293
195.0,4.069,0.3072
200.0,4.279,0.2903
205.0,4.475,0.2777
210.0,4.655,0.2687
215.0,4.82,0.2627
220.0,4.971,0.2592
225.0,5.105,0.2578
230.0,5.225,0.2581
235.0,5.3279999999999985,0.2598
240.0,5.417000000000002,0.2627
245.0,5.49,0.2667
250.0,5.55,0.2715
255.0,5.596,0.2771
260.0,5.631,0.2833
265.0,5.654,0.29
270.0,5.667999999999998,0.2971
275.0,5.674,0.3046
280.0,5.671,0.3125
285.0,5.662000000000001,0.3206
290.0,5.646,0.3289
295.0,5.625,0.3373
300.0,5.598,0.3459
305.0,5.566,0.3546
310.0,5.53,0.3633
315.0,5.489,0.3721
320.0,5.444,0.3808
325.0,5.396,0.3896
330.0,5.345,0.3984
335.0,5.29,0.4071
340.0,5.233,0.4157
345.0,5.174,0.4243
350.0,5.112,0.4329
355.0,5.049,0.4414
360.0,4.985,0.4498
365.0,4.92,0.4582
370.0,4.854,0.4664
375.0,4.788,0.4746
380.0,4.721,0.4827
385.0,4.654,0.4908
400.0,4.452,0.5144
420.0,4.186,0.5446
440.0,3.924,0.5734
460.0,3.672,0.6005
480.0,3.43,0.6262
500.0,3.2030000000000003,0.6505
520.0,2.989,0.6734
540.0,2.789,0.6951
560.0,2.602,0.7156
580.0,2.428,0.735
600.0,2.266,0.7533
620.0,2.116,0.7705
640.0,1.977,0.7868
660.0,1.848,0.8021
680.0,1.7280000000000002,0.8167
700.0,1.617,0.8304
720.0,1.515,0.8434
740.0,1.42,0.8557
760.0,1.332,0.8673
780.0,1.25,0.8782
800.0,1.1740000000000002,0.8886
850.0,1.008,0.9121
900.0,0.8688,0.9325
950.0,0.7525,0.9503
1000.0,0.6548,0.9657
1041.0,0.5859,0.9768
1050.0,0.5720000000000001,0.9791
1100.0,0.5018,0.9907
1150.0,0.4418,1.001
1200.0,0.3905,1.009
1250.0,0.3463,1.016
1253.6,0.3433,1.017
1300.0,0.3081,1.023
1350.0,0.2749,1.028
1400.0,0.2461,1.032
1450.0,0.2209,1.035
1486.6,0.2044,1.038
1500.0,0.1988,1.038
