energy,cross_section,asymmetry_parameter
10.2,0.3864,2
15.0,0.4024,2
16.7,0.381,2
20.0,0.3366,2
21.2,0.3215,2
25.0,0.2792,2
26.8,0.2622,2
30.0,0.2359,2
35.0,0.203,2
40.0,0.1771,2
40.8,0.1735,2
45.0,0.1562,2
50.0,0.1388,2
55.0,0.124,2
60.0,0.1114,2
65.0,0.1004,2
70.0,0.09093,2
75.0,0.08265,2
80.0,0.07541,2
85.0,0.06906,2
90.0,0.06348,2
95.0,0.05856,2
100.0,0.0542,2
105.0,0.05034,2
110.0,0.04689,2
115.0,0.04381,2
120.0,0.04103,2
125.0,0.03853,2
130.0,0.03627,2
132.3,0.0353,2
135.0,0.034210000000000004,2
140.0,0.03234,2
145.0,0.03063,2
150.0,0.02906,2
151.4,0.02865,2
155.0,0.02762,2
160.0,0.0263,2
165.0,0.02508,2
170.0,0.02395,2
175.0,0.02291,2
180.0,0.02194,2
185.0,0.02104,2
190.0,0.02021,2
195.0,0.019430000000000003,2
200.0,0.0187,2
205.0,0.018009999999999998,2
210.0,0.01737,2
215.0,0.01676,2
220.0,0.01619,2
225.0,0.01565,2
230.0,0.01514,2
235.0,0.01466,2
240.0,0.0142,2
245.0,0.01376,2
250.0,0.01334,2
255.0,0.01294,2
260.0,0.01256,2
265.0,0.0122,2
270.0,0.01185,2
275.0,0.01151,2
280.0,0.01119,2
285.0,0.01088,2
290.0,0.01059,2
295.0,0.0103,2
300.0,0.01003,2
305.0,0.00977,2
320.0,0.009043,2
340.0,0.008194,2
360.0,0.007461,2
380.0,0.006825,2
400.0,0.006271,2
420.0,0.005785,2
440.0,0.005357,2
460.0,0.004979,2
480.0,0.004642,2
500.0,0.004340999999999999,2
520.0,0.004070000000000001,2
540.0,0.003824,2
560.0,0.003601,2
580.0,0.003397,2
600.0,0.00321,2
620.0,0.003038,2
640.0,0.00288,2
660.0,0.002734,2
680.0,0.002599,2
700.0,0.002474,2
720.0,0.002358,2
740.0,0.00225,2
760.0,0.00215,2
780.0,0.002057,2
800.0,0.00197,2
850.0,0.0017760000000000005,2
900.0,0.001611,2
950.0,0.001469,2
1000.0,0.0013460000000000002,2
1041.0,0.001256,2
1050.0,0.0012369999999999998,2
1100.0,0.001142,2
1150.0,0.001057,2
1200.0,0.0009816,2
1250.0,0.0009143,2
1253.6,0.0009097000000000002,2
1300.0,0.0008541,2
1350.0,0.0007997999999999999,2
1400.0,0.0007506,2
1450.0,0.0007059999999999999,2
1486.6,0.0006758999999999999,2
1500.0,0.0006655000000000001,2
