energy,cross_section,asymmetry_parameter
370.0,0.2507,2
375.0,0.2752,2
380.0,0.2856,2
385.0,0.2877,2
390.0,0.2854,2
395.0,0.2808,2
400.0,0.2754,2
405.0,0.27,2
410.0,0.2648,2
415.0,0.26,2
420.0,0.2557,2
425.0,0.2518,2
430.0,0.2483,2
435.0,0.2449,2
440.0,0.2417,2
445.0,0.2387,2
450.0,0.2356,2
455.0,0.2326,2
460.0,0.2295,2
465.0,0.2265,2
470.0,0.2234,2
475.0,0.2203,2
480.0,0.2173,2
485.0,0.2142,2
490.0,0.2112,2
495.0,0.2082,2
500.0,0.2053,2
505.0,0.2025,2
510.0,0.1997,2
515.0,0.197,2
520.0,0.1943,2
525.0,0.1918,2
530.0,0.1892,2
535.0,0.1868,2
540.0,0.1844,2
545.0,0.182,2
550.0,0.1797,2
555.0,0.1774,2
560.0,0.1752,2
565.0,0.1729,2
570.0,0.1708,2
575.0,0.1686,2
580.0,0.1665,2
585.0,0.1644,2
590.0,0.1623,2
595.0,0.1603,2
600.0,0.1583,2
605.0,0.1563,2
610.0,0.1543,2
615.0,0.1524,2
620.0,0.1505,2
625.0,0.1486,2
630.0,0.1468,2
635.0,0.145,2
640.0,0.1432,2
645.0,0.1415,2
650.0,0.1398,2
655.0,0.1381,2
660.0,0.1365,2
665.0,0.1349,2
680.0,0.1302,2
700.0,0.1243,2
720.0,0.1187,2
740.0,0.1135,2
760.0,0.1085,2
780.0,0.1039,2
800.0,0.09947,2
850.0,0.08957000000000001,2
900.0,0.081,2
950.0,0.0735,2
1000.0,0.06692000000000001,2
1041.0,0.06213,2
1050.0,0.06114,2
1100.0,0.05604,2
1150.0,0.0515,2
1200.0,0.04746,2
1250.0,0.04384,2
1253.6,0.0436,2
1300.0,0.0406,2
1350.0,0.03768,2
1400.0,0.03505,2
1450.0,0.03266,2
1486.6,0.03105,2
1500.0,0.03049,2
