energy,cross_section,asymmetry_parameter
25.0,41.96,1.4580000000000002
26.86,19.56,1.771
30.0,7.677,1.955
35.0,2.555,1.664
40.0,1.209,0.6963
40.81,1.115,0.5134
45.0,0.8836,-0.1951
50.0,0.8919,-0.2997
55.0,0.9974,-0.0191
60.0,1.11,0.2894
65.0,1.198,0.5394
70.0,1.254,0.7307
75.0,1.284,0.8771
80.0,1.291,0.991
85.0,1.283,1.081
90.0,1.263,1.155
95.0,1.236,1.215
100.0,1.203,1.266
105.0,1.167,1.308
110.0,1.129,1.345
115.0,1.089,1.3769999999999998
120.0,1.0490000000000002,1.405
125.0,1.008,1.429
130.0,0.9681,1.4509999999999998
132.3,0.9499,1.46
135.0,0.9286,1.47
140.0,0.8901,1.487
145.0,0.8527,1.503
150.0,0.8166,1.516
151.4,0.8068,1.52
155.0,0.782,1.528
160.0,0.7489,1.539
165.0,0.7173,1.5490000000000002
170.0,0.6873,1.558
175.0,0.6587,1.5659999999999998
180.0,0.6316,1.5730000000000002
185.0,0.6058,1.579
190.0,0.5813,1.585
195.0,0.5581,1.59
200.0,0.536,1.595
205.0,0.515,1.599
210.0,0.495,1.6030000000000002
215.0,0.476,1.606
220.0,0.4578,1.609
225.0,0.4405,1.612
230.0,0.424,1.614
235.0,0.4082,1.617
240.0,0.3932,1.618
245.0,0.3788,1.62
250.0,0.365,1.621
255.0,0.3519,1.6230000000000002
260.0,0.3394,1.6230000000000002
265.0,0.3274,1.624
270.0,0.316,1.625
275.0,0.305,1.625
280.0,0.2946,1.626
285.0,0.2846,1.626
290.0,0.275,1.626
295.0,0.2659,1.626
300.0,0.2571,1.626
305.0,0.2488,1.625
310.0,0.2407,1.625
315.0,0.2331,1.624
320.0,0.2257,1.624
340.0,0.1992,1.621
360.0,0.1765,1.617
380.0,0.1572,1.612
400.0,0.1405,1.606
420.0,0.126,1.6
440.0,0.1135,1.594
460.0,0.1026,1.587
480.0,0.09301,1.58
500.0,0.08461,1.5730000000000002
520.0,0.07718,1.5659999999999998
540.0,0.07059,1.5590000000000002
560.0,0.06473,1.551
580.0,0.05948,1.544
600.0,0.05479,1.536
620.0,0.05057,1.529
640.0,0.04677,1.521
660.0,0.04334,1.514
680.0,0.04024,1.506
700.0,0.03742,1.499
720.0,0.03486,1.491
740.0,0.03252,1.484
760.0,0.03038,1.477
780.0,0.02843,1.469
800.0,0.02664,1.462
850.0,0.02276,1.444
900.0,0.0196,1.426
950.0,0.01699,1.409
1000.0,0.01481,1.392
1041.0,0.01329,1.379
1050.0,0.01299,1.376
1100.0,0.01144,1.36
1150.0,0.01013,1.344
1200.0,0.009000000000000001,1.329
1250.0,0.008029999999999999,1.314
1253.6,0.007965,1.3130000000000002
1300.0,0.007192000000000001,1.2990000000000002
1350.0,0.006462999999999999,1.285
1400.0,0.005827000000000001,1.271
1450.0,0.005268999999999999,1.257
1486.6,0.004904,1.247
1500.0,0.004778,1.244
