energy,cross_section,asymmetry_parameter
100.0,0.5535,0.6963
105.0,0.6551,1.018
110.0,0.8973,0.9068
115.0,1.361,0.5453
120.0,1.999,0.2611
125.0,2.7,0.1011
130.0,3.3480000000000003,0.02907
132.3,3.611,0.01547
135.0,3.889,0.01032
140.0,4.323,0.02237
145.0,4.673,0.05188
150.0,4.961,0.09095
151.4,5.032,0.1029
155.0,5.202000000000001,0.1348
160.0,5.403,0.1806
165.0,5.565,0.2266
170.0,5.688,0.2716
175.0,5.773,0.3151
180.0,5.818,0.3566
185.0,5.8279999999999985,0.3959
190.0,5.807,0.4331
195.0,5.757999999999999,0.4682
200.0,5.689,0.5013
205.0,5.604,0.5325
210.0,5.5070000000000014,0.5619
215.0,5.402,0.5897
220.0,5.292000000000002,0.616
225.0,5.1789999999999985,0.6409999999999999
230.0,5.064,0.6647
235.0,4.947,0.6873
240.0,4.831,0.7089
245.0,4.714,0.7295
250.0,4.597,0.7491
255.0,4.481,0.768
260.0,4.364,0.7859999999999999
265.0,4.248,0.8032
270.0,4.133,0.8197
275.0,4.019,0.8356
280.0,3.905,0.8507
285.0,3.794,0.8652
290.0,3.684,0.8791
295.0,3.577,0.8924
300.0,3.472,0.9052
305.0,3.369,0.9174
310.0,3.27,0.9291
315.0,3.173,0.9403
320.0,3.08,0.951
325.0,2.989,0.9613
330.0,2.901,0.9712
335.0,2.817,0.9806
340.0,2.735,0.9897
345.0,2.656,0.9984
350.0,2.58,1.007
355.0,2.506,1.015
360.0,2.435,1.023
365.0,2.366,1.03
370.0,2.299,1.037
375.0,2.235,1.044
380.0,2.172,1.051
385.0,2.112,1.057
390.0,2.053,1.064
395.0,1.996,1.07
400.0,1.941,1.075
420.0,1.7380000000000002,1.097
440.0,1.5590000000000002,1.115
460.0,1.402,1.131
480.0,1.264,1.144
500.0,1.144,1.156
520.0,1.037,1.166
540.0,0.9431,1.175
560.0,0.8591,1.183
580.0,0.7841,1.189
600.0,0.7170000000000001,1.194
620.0,0.6569,1.199
640.0,0.6031,1.202
660.0,0.5547,1.205
680.0,0.5112,1.207
700.0,0.472,1.209
720.0,0.4364,1.21
740.0,0.4042,1.211
760.0,0.3748,1.211
780.0,0.3481,1.211
800.0,0.3236,1.21
850.0,0.2714,1.208
900.0,0.2294,1.204
950.0,0.1953,1.198
1000.0,0.1673,1.192
1041.0,0.14800000000000002,1.186
1050.0,0.1441,1.185
1100.0,0.1248,1.177
1150.0,0.1087,1.169
1200.0,0.09513,1.16
1250.0,0.0836,1.151
1253.6,0.08284,1.151
1300.0,0.07377,1.142
1350.0,0.06535,1.133
1400.0,0.05809,1.124
1450.0,0.051820000000000005,1.115
1486.6,0.04776,1.108
1500.0,0.046380000000000005,1.105
