energy,cross_section,asymmetry_parameter
870.0,0.3652,1.632
875.0,1.4580000000000002,1.134
880.0,2.006,0.8518
885.0,2.165,0.6907
890.0,2.245,0.5903
895.0,2.273,0.5241
900.0,2.258,0.4794
905.0,2.221,0.4496
910.0,2.18,0.4305
915.0,2.145,0.4192
920.0,2.116,0.4137
925.0,2.09,0.4123
930.0,2.066,0.414
935.0,2.04,0.418
940.0,2.014,0.4236
945.0,1.987,0.4307
950.0,1.96,0.4388
955.0,1.935,0.4479
960.0,1.912,0.4576
965.0,1.889,0.468
970.0,1.868,0.4788
975.0,1.847,0.4898
980.0,1.826,0.501
985.0,1.805,0.5123
990.0,1.785,0.5236
995.0,1.764,0.5348
1000.0,1.744,0.546
1005.0,1.724,0.5571
1010.0,1.705,0.5681
1015.0,1.686,0.579
1020.0,1.668,0.5899
1025.0,1.65,0.6006
1030.0,1.632,0.6112
1035.0,1.614,0.6217
1040.0,1.597,0.6321
1041.0,1.594,0.6341
1045.0,1.58,0.6423
1050.0,1.5630000000000002,0.6523
1055.0,1.546,0.6621
1060.0,1.53,0.6718
1065.0,1.513,0.6813
1070.0,1.497,0.6906
1075.0,1.481,0.6997
1080.0,1.465,0.7087
1085.0,1.449,0.7175
1090.0,1.4340000000000002,0.7261
1095.0,1.419,0.7346
1100.0,1.404,0.743
1105.0,1.389,0.7512
1110.0,1.374,0.7592
1115.0,1.36,0.7671
1120.0,1.346,0.7748
1125.0,1.332,0.7824
1130.0,1.318,0.7899
1135.0,1.304,0.7972
1140.0,1.29,0.8044
1145.0,1.276,0.8114
1150.0,1.263,0.8183
1155.0,1.25,0.8251
1160.0,1.237,0.8317
1165.0,1.224,0.8382
1200.0,1.139,0.8805
1250.0,1.028,0.9323
1253.6,1.021,0.9356
1300.0,0.9311,0.9755
1350.0,0.845,1.012
1400.0,0.7686,1.042
1450.0,0.7007,1.068
1486.6,0.6558,1.085
1500.0,0.6402,1.091
