energy,cross_section,asymmetry_parameter
30.0,6.127999999999999,1.998
35.0,3.477,1.862
40.0,2.082,1.555
40.81,1.931,1.497
45.0,1.358,1.179
50.0,0.9621,0.797
55.0,0.7323,0.4571
60.0,0.5917,0.189
65.0,0.5024,0.006157
70.0,0.4436,-0.09446
75.0,0.4032,-0.1283
80.0,0.374,-0.115
85.0,0.3518,-0.07186000000000001
90.0,0.3339,-0.01152
95.0,0.319,0.05787000000000001
100.0,0.306,0.1313
105.0,0.2944,0.2057
110.0,0.284,0.279
115.0,0.2744,0.35
120.0,0.2655,0.4178
125.0,0.2571,0.4818
130.0,0.2492,0.5418
132.3,0.2458,0.568
135.0,0.2418,0.5978
140.0,0.2346,0.6499
145.0,0.2278,0.6985
150.0,0.2213,0.7439
151.4,0.2196,0.7561
155.0,0.2151,0.7863
160.0,0.2092,0.8262
165.0,0.2034,0.8636
170.0,0.198,0.8989
175.0,0.1927,0.9322
180.0,0.1876,0.9636
185.0,0.1828,0.9932
190.0,0.1781,1.021
195.0,0.1735,1.048
200.0,0.1692,1.073
205.0,0.165,1.096
210.0,0.161,1.118
215.0,0.1571,1.14
220.0,0.1534,1.16
225.0,0.1498,1.179
230.0,0.1463,1.197
235.0,0.14300000000000002,1.214
240.0,0.1398,1.231
245.0,0.1366,1.246
250.0,0.1336,1.261
255.0,0.1307,1.276
260.0,0.1279,1.29
265.0,0.1252,1.3030000000000002
270.0,0.1225,1.3159999999999998
275.0,0.12,1.328
280.0,0.1175,1.34
285.0,0.1151,1.351
290.0,0.1128,1.362
295.0,0.1105,1.372
300.0,0.1084,1.382
305.0,0.1062,1.392
310.0,0.1042,1.401
315.0,0.1022,1.41
320.0,0.1003,1.418
325.0,0.0984,1.426
340.0,0.09309,1.45
360.0,0.08666,1.477
380.0,0.08089,1.501
400.0,0.0757,1.5219999999999998
420.0,0.071,1.541
440.0,0.06673,1.558
460.0,0.06285,1.5730000000000002
480.0,0.05929,1.586
500.0,0.05604,1.598
520.0,0.05304,1.609
540.0,0.05028,1.619
560.0,0.04773,1.628
580.0,0.04537,1.636
600.0,0.04319,1.644
620.0,0.04115,1.65
640.0,0.03926,1.656
660.0,0.03749,1.662
680.0,0.03583,1.6669999999999998
700.0,0.03428,1.672
720.0,0.03283,1.676
740.0,0.03147,1.68
760.0,0.03019,1.6840000000000002
780.0,0.02898,1.6869999999999998
800.0,0.02784,1.69
850.0,0.02526,1.696
900.0,0.02302,1.7009999999999998
950.0,0.02105,1.705
1000.0,0.01932,1.7080000000000002
1041.0,0.01804,1.71
1050.0,0.01778,1.71
1100.0,0.01641,1.711
1150.0,0.01519,1.712
1200.0,0.01409,1.713
1250.0,0.01311,1.712
1253.6,0.01304,1.712
1300.0,0.01222,1.712
1350.0,0.01141,1.711
1400.0,0.01068,1.71
1450.0,0.01001,1.709
1486.6,0.009556,1.7080000000000002
1500.0,0.009399,1.707
