energy,cross_section,asymmetry_parameter
60.0,3.247,2
65.0,3.261,2
70.0,3.087,2
75.0,2.833,2
80.0,2.556,2
85.0,2.286,2
90.0,2.037,2
95.0,1.813,2
100.0,1.614,2
105.0,1.44,2
110.0,1.288,2
115.0,1.154,2
120.0,1.038,2
125.0,0.9367,2
130.0,0.8476,2
132.3,0.8104,2
135.0,0.7694,2
140.0,0.7005,2
145.0,0.6396,2
150.0,0.5856,2
151.4,0.5716,2
155.0,0.5375,2
160.0,0.4947,2
165.0,0.4563,2
170.0,0.4219,2
175.0,0.3908,2
180.0,0.3628,2
185.0,0.3375,2
190.0,0.3145,2
195.0,0.2935,2
200.0,0.2744,2
205.0,0.2569,2
210.0,0.2409,2
215.0,0.2262,2
220.0,0.2127,2
225.0,0.2002,2
230.0,0.1887,2
235.0,0.17800000000000002,2
240.0,0.1681,2
245.0,0.159,2
250.0,0.1505,2
255.0,0.1425,2
260.0,0.1352,2
265.0,0.1283,2
270.0,0.1218,2
275.0,0.1158,2
280.0,0.1102,2
285.0,0.1049,2
290.0,0.09996,2
295.0,0.0953,2
300.0,0.09093,2
305.0,0.08682000000000001,2
310.0,0.08294,2
315.0,0.07929,2
320.0,0.07585,2
325.0,0.0726,2
330.0,0.06953,2
335.0,0.06663,2
340.0,0.06389,2
345.0,0.06129,2
350.0,0.058829999999999986,2
355.0,0.0565,2
360.0,0.05429,2
380.0,0.0465,2
400.0,0.04013,2
420.0,0.03487,2
440.0,0.03048,2
460.0,0.0268,2
480.0,0.02369,2
500.0,0.02105,2
520.0,0.01878,2
540.0,0.016819999999999998,2
560.0,0.015119999999999996,2
580.0,0.01365,2
600.0,0.01235,2
620.0,0.01122,2
640.0,0.01021,2
660.0,0.009322,2
680.0,0.008531,2
700.0,0.007825,2
720.0,0.0071930000000000015,2
740.0,0.006626000000000001,2
760.0,0.006116,2
780.0,0.005656,2
800.0,0.005241,2
850.0,0.0043630000000000006,2
900.0,0.003667,2
950.0,0.0031100000000000004,2
1000.0,0.002658,2
1041.0,0.00235,2
1050.0,0.002288,2
1100.0,0.001983,2
1150.0,0.0017280000000000002,2
1200.0,0.0015140000000000002,2
1250.0,0.001334,2
1253.6,0.001322,2
1300.0,0.00118,2
1350.0,0.001049,2
1400.0,0.0009367,2
1450.0,0.0008392000000000001,2
1486.6,0.0007762,2
1500.0,0.0007547000000000001,2
