energy,cross_section,asymmetry_parameter
295.0,0.2632,-0.9106
300.0,0.2711,-0.8367
305.0,0.2738,-0.7009
310.0,0.2738,-0.573
315.0,0.2731,-0.4602
320.0,0.2727,-0.3583
325.0,0.2726,-0.2635
330.0,0.2728,-0.1741
335.0,0.2731,-0.08992
340.0,0.2732,-0.01152
345.0,0.2732,0.0607
350.0,0.2729,0.1267
355.0,0.2724,0.1868
360.0,0.2719,0.2418
365.0,0.2712,0.2925
370.0,0.2705,0.3397
375.0,0.2698,0.3839
380.0,0.269,0.4258
385.0,0.2682,0.4657
390.0,0.2673,0.5036
395.0,0.2664,0.5396
400.0,0.2654,0.5739
405.0,0.2642,0.6063
410.0,0.2631,0.637
415.0,0.2618,0.6659999999999999
420.0,0.2606,0.6934
425.0,0.2592,0.7194
430.0,0.2579,0.7440000000000001
435.0,0.2565,0.7675
440.0,0.2552,0.7899
445.0,0.2538,0.8114
450.0,0.2524,0.8321
455.0,0.251,0.852
460.0,0.2495,0.8712
465.0,0.248,0.8898
470.0,0.2465,0.9077
475.0,0.245,0.9249
480.0,0.2435,0.9416
485.0,0.2419,0.9576
490.0,0.2404,0.973
495.0,0.2388,0.9879
500.0,0.2372,1.002
505.0,0.2356,1.016
510.0,0.234,1.029
515.0,0.2324,1.042
520.0,0.2308,1.055
525.0,0.2292,1.067
530.0,0.2277,1.078
535.0,0.2261,1.089
540.0,0.2245,1.1
545.0,0.223,1.111
550.0,0.2214,1.122
555.0,0.2198,1.132
560.0,0.2183,1.142
565.0,0.2167,1.151
570.0,0.2151,1.161
575.0,0.2136,1.17
580.0,0.212,1.178
585.0,0.2105,1.187
600.0,0.2059,1.212
620.0,0.1999,1.241
640.0,0.1941,1.268
660.0,0.1885,1.293
680.0,0.183,1.3159999999999998
700.0,0.1776,1.337
720.0,0.1725,1.356
740.0,0.1675,1.374
760.0,0.1627,1.39
780.0,0.1581,1.405
800.0,0.1536,1.42
850.0,0.1432,1.452
900.0,0.1336,1.479
950.0,0.1249,1.503
1000.0,0.117,1.523
1041.0,0.111,1.538
1050.0,0.1097,1.541
1100.0,0.1031,1.557
1150.0,0.097,1.571
1200.0,0.09143,1.584
1250.0,0.0863,1.595
1253.6,0.08595,1.596
1300.0,0.08157,1.605
1350.0,0.07721,1.615
1400.0,0.07318999999999999,1.6230000000000002
1450.0,0.06945,1.63
1486.6,0.06688999999999999,1.635
1500.0,0.06599,1.6369999999999998
