energy,cross_section,asymmetry_parameter
360.0,0.2012,2
380.0,0.1866,2
400.0,0.1766,2
420.0,0.1652,2
440.0,0.156,2
460.0,0.1472,2
480.0,0.139,2
500.0,0.1317,2
520.0,0.1249,2
540.0,0.1186,2
560.0,0.1127,2
580.0,0.1073,2
600.0,0.1023,2
620.0,0.0976,2
640.0,0.0932,2
660.0,0.0891,2
680.0,0.08528,2
700.0,0.0817,2
720.0,0.07833999999999999,2
740.0,0.07517,2
760.0,0.07219,2
780.0,0.06939,2
800.0,0.06675,2
850.0,0.06078,2
900.0,0.05557,2
950.0,0.05101,2
1000.0,0.04698,2
1041.0,0.04403,2
1050.0,0.04342,2
1100.0,0.04025,2
1150.0,0.03741,2
1200.0,0.03486,2
1250.0,0.03257,2
1253.6,0.03241,2
1300.0,0.03049,2
1350.0,0.028610000000000007,2
1400.0,0.0269,2
1450.0,0.02533,2
1486.6,0.02427,2
1500.0,0.0239,2
