energy,cross_section,asymmetry_parameter
35.0,0.9684,1.46
40.0,1.107,1.721
40.81,1.143,1.726
45.0,1.391,1.634
50.0,1.785,1.396
55.0,2.236,1.157
60.0,2.712,0.9603
65.0,3.2,0.8084
70.0,3.691,0.6917
75.0,4.173,0.6014
80.0,4.632,0.5308
85.0,5.053,0.4753
90.0,5.425,0.4316
95.0,5.746,0.3973
100.0,6.019,0.3706
105.0,6.25,0.3501
110.0,6.447,0.3347
115.0,6.614,0.3234
120.0,6.755,0.3154
125.0,6.872000000000001,0.3102
130.0,6.965,0.3073
132.3,7.001,0.3065
135.0,7.0360000000000005,0.3062
140.0,7.084,0.3067
145.0,7.113,0.3084
150.0,7.122999999999998,0.3114
151.4,7.122999999999998,0.3124
155.0,7.1179999999999986,0.3152
160.0,7.099,0.3199
165.0,7.07,0.3254
170.0,7.032,0.3314
175.0,6.985,0.3379
180.0,6.931,0.3448
185.0,6.871,0.3521
190.0,6.8039999999999985,0.3597
195.0,6.732,0.3675
200.0,6.654,0.3755
205.0,6.5710000000000015,0.3837
210.0,6.483,0.3919
215.0,6.392,0.4003
220.0,6.297999999999999,0.4087
225.0,6.2010000000000005,0.4171
230.0,6.102,0.4256
235.0,6.002000000000002,0.4342
240.0,5.902,0.4427
245.0,5.8,0.4512
250.0,5.699,0.4598
255.0,5.598,0.4683
260.0,5.496,0.4767
265.0,5.395,0.4852
270.0,5.294,0.4935
275.0,5.193,0.5018
280.0,5.093,0.5101
285.0,4.994,0.5183
290.0,4.895,0.5264
295.0,4.797,0.5344
300.0,4.7,0.5423
305.0,4.604,0.5501
310.0,4.509,0.5578
315.0,4.416,0.5655
320.0,4.324,0.5731
325.0,4.234,0.5805
330.0,4.145,0.5879
340.0,3.972,0.6024
360.0,3.645,0.6303
380.0,3.341,0.6568
400.0,3.062,0.6819
420.0,2.806,0.7054
440.0,2.572,0.7277
460.0,2.359,0.7486
480.0,2.165,0.7684
500.0,1.989,0.787
520.0,1.828,0.8045
540.0,1.682,0.8209
560.0,1.55,0.8364
580.0,1.429,0.8509
600.0,1.32,0.8646
620.0,1.22,0.8775
640.0,1.129,0.8896
660.0,1.046,0.9009
680.0,0.9698,0.9116
700.0,0.9005,0.9216
720.0,0.8371,0.931
740.0,0.779,0.9398
760.0,0.7257,0.9481
780.0,0.6768,0.9559
800.0,0.6318,0.9632
850.0,0.5344,0.9795
900.0,0.4548,0.9933
950.0,0.3891,1.005
1000.0,0.3348,1.015
1041.0,0.2971,1.021
1050.0,0.2895,1.023
1100.0,0.2515,1.029
1150.0,0.2194,1.035
1200.0,0.1923,1.039
1250.0,0.1692,1.042
1253.6,0.1676,1.042
1300.0,0.1494,1.044
1350.0,0.1324,1.046
1400.0,0.1177,1.047
1450.0,0.105,1.047
1486.6,0.09668,1.047
1500.0,0.09386,1.047
