energy,cross_section,asymmetry_parameter
1365.0,0.2115,-0.06138
1370.0,0.2147,0.02506
1375.0,0.2125,0.1046
1380.0,0.2096,0.1742
1385.0,0.2076,0.2374
1390.0,0.2065,0.2966
1395.0,0.2061,0.3525
1400.0,0.2059,0.405
1405.0,0.2056,0.4536
1410.0,0.205,0.498
1415.0,0.2042,0.5382
1420.0,0.2033,0.5747
1425.0,0.2023,0.6078
1430.0,0.2014,0.6382
1435.0,0.2006,0.6665
1440.0,0.1998,0.6931
1445.0,0.1992,0.7183
1450.0,0.1985,0.7423
1455.0,0.1979,0.7652
1460.0,0.1972,0.7871
1465.0,0.1965,0.8079
1470.0,0.1957,0.8277
1475.0,0.195,0.8465
1480.0,0.1942,0.8644
1485.0,0.1934,0.8812
1486.6,0.1932,0.8865
1490.0,0.1927,0.8973
1495.0,0.1919,0.9125
1500.0,0.1912,0.9271
