energy,cross_section,asymmetry_parameter
35.0,1.732,1.182
40.0,2.068,1.689
40.81,2.173,1.704
45.0,2.997,1.548
50.0,4.546,1.165
55.0,6.5470000000000015,0.8419
60.0,8.865,0.6236
65.0,11.43,0.4832
70.0,14.11,0.3943
75.0,16.7,0.3398
80.0,18.99,0.3089
85.0,20.82,0.2951
90.0,22.14,0.2939
95.0,22.95,0.3024
100.0,23.26,0.3182
105.0,23.06,0.3399
110.0,22.36,0.3661
115.0,21.21,0.3961
120.0,19.7,0.4292
125.0,17.95,0.465
130.0,16.08,0.5035
132.3,15.21,0.522
135.0,14.19,0.5444
140.0,12.37,0.5878
145.0,10.66,0.6337
150.0,9.101,0.6823
151.4,8.692,0.6964
155.0,7.701,0.7336
160.0,6.466,0.7877
165.0,5.393,0.8448
170.0,4.472,0.9051
175.0,3.688,0.9689
180.0,3.027,1.036
185.0,2.4730000000000003,1.108
190.0,2.011,1.1840000000000002
195.0,1.6269999999999998,1.264
200.0,1.31,1.349
205.0,1.0490000000000002,1.4380000000000002
210.0,0.8358,1.53
215.0,0.6623,1.624
220.0,0.5223,1.716
225.0,0.4102,1.7990000000000002
230.0,0.3216,1.863
235.0,0.2526,1.892
240.0,0.1997,1.864
245.0,0.1603,1.75
250.0,0.132,1.525
255.0,0.1129,1.179
260.0,0.1013,0.7369
265.0,0.09586,0.2604
270.0,0.09541,-0.17800000000000002
275.0,0.09899,-0.5261
280.0,0.1058,-0.7665
285.0,0.1151,-0.9095
290.0,0.1265,-0.9775
295.0,0.1393,-0.993
300.0,0.1532,-0.9745
305.0,0.1679,-0.9354
310.0,0.1831,-0.8846
315.0,0.1986,-0.8278
320.0,0.2142,-0.7688
325.0,0.2297,-0.7097
340.0,0.2748,-0.5426
360.0,0.3289,-0.3543
380.0,0.3743,-0.2024
400.0,0.4105,-0.07831
420.0,0.4381,0.0251
440.0,0.4582,0.113
460.0,0.4719,0.1891
480.0,0.48,0.2556
500.0,0.4835,0.3145
520.0,0.4833,0.3672
540.0,0.4802,0.4146
560.0,0.4746,0.4578
580.0,0.4672,0.4973
600.0,0.4583,0.5335
620.0,0.4482,0.5668
640.0,0.4374,0.5976
660.0,0.426,0.6262
680.0,0.4142,0.6529
700.0,0.4022,0.6778
720.0,0.39,0.701
740.0,0.3779,0.7229
760.0,0.3658,0.7433
780.0,0.3539,0.7626
800.0,0.3422,0.7807
850.0,0.3141,0.8216
900.0,0.2878,0.8572
950.0,0.2636,0.8883
1000.0,0.2414,0.9156
1041.0,0.2246,0.9356
1050.0,0.2211,0.9397
1100.0,0.2027,0.9609
1150.0,0.18600000000000005,0.9798
1200.0,0.1709,0.9965
1250.0,0.1571,1.011
1253.6,0.1562,1.012
1300.0,0.1447,1.024
1350.0,0.1334,1.036
1400.0,0.1231,1.047
1450.0,0.1138,1.056
1486.6,0.1075,1.062
1500.0,0.1053,1.064
