energy,cross_section,asymmetry_parameter
60.0,3.29,-0.2577
65.0,5.1370000000000005,0.1612
70.0,6.221,0.4848
75.0,6.692,0.7052
80.0,6.8,0.8607
85.0,6.711,0.9753
90.0,6.513,1.063
95.0,6.247000000000001,1.133
100.0,5.938,1.189
105.0,5.603,1.235
110.0,5.256,1.274
115.0,4.908,1.306
120.0,4.5710000000000015,1.334
125.0,4.249,1.357
130.0,3.948,1.3769999999999998
132.3,3.817,1.386
135.0,3.669,1.395
140.0,3.412,1.409
145.0,3.177,1.422
150.0,2.962,1.433
151.4,2.906,1.436
155.0,2.766,1.443
160.0,2.5860000000000003,1.4509999999999998
165.0,2.42,1.4580000000000002
170.0,2.268,1.464
175.0,2.128,1.469
180.0,1.998,1.474
185.0,1.879,1.4780000000000002
190.0,1.768,1.481
195.0,1.665,1.483
200.0,1.569,1.485
205.0,1.48,1.487
210.0,1.398,1.4880000000000002
215.0,1.321,1.489
220.0,1.25,1.489
225.0,1.183,1.49
230.0,1.121,1.489
235.0,1.063,1.489
240.0,1.009,1.4880000000000002
245.0,0.9589,1.4880000000000002
250.0,0.9117,1.486
255.0,0.8675,1.485
260.0,0.826,1.484
265.0,0.7871,1.482
270.0,0.7505,1.481
275.0,0.7161,1.479
280.0,0.6836,1.477
285.0,0.6531,1.475
290.0,0.6242,1.473
295.0,0.597,1.47
300.0,0.5712,1.4680000000000002
305.0,0.5469,1.466
310.0,0.5239,1.463
315.0,0.5021,1.461
320.0,0.4814,1.4580000000000002
325.0,0.4618,1.455
330.0,0.4433,1.452
335.0,0.4257,1.45
340.0,0.409,1.4469999999999998
345.0,0.3931,1.444
350.0,0.378,1.4409999999999998
355.0,0.3637,1.4380000000000002
360.0,0.35,1.435
380.0,0.3017,1.423
400.0,0.2616,1.41
420.0,0.2282,1.3969999999999998
440.0,0.2001,1.384
460.0,0.1763,1.371
480.0,0.156,1.358
500.0,0.1386,1.345
520.0,0.1237,1.332
540.0,0.1107,1.319
560.0,0.09948,1.306
580.0,0.08966,1.293
600.0,0.08105,1.281
620.0,0.07347000000000001,1.268
640.0,0.06677999999999999,1.256
660.0,0.06085,1.244
680.0,0.05558,1.232
700.0,0.05088,1.22
720.0,0.04667,1.208
740.0,0.04291,1.197
760.0,0.03952,1.185
780.0,0.03646,1.1740000000000002
800.0,0.0337,1.163
850.0,0.02788,1.136
900.0,0.02328,1.111
950.0,0.01961,1.086
1000.0,0.01665,1.062
1041.0,0.01463,1.043
1050.0,0.01423,1.039
1100.0,0.01224,1.017
1150.0,0.01059,0.9962
1200.0,0.009213,0.9758
1250.0,0.008056,0.9561
1253.6,0.007979,0.9547
1300.0,0.0070760000000000016,0.9373
1350.0,0.006244,0.9192
1400.0,0.005531,0.9016
1450.0,0.004918,0.8848
1486.6,0.004524,0.8728
1500.0,0.00439,0.8686
